101.0.64.0/18 #AS55803 HOSTOPIA-AU Hostopia Australia Web Pty Ltd, AU
101.234.144.0/22 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.153.0/24 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.154.0/24 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.155.0/24 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.156.0/23 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.159.0/24 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.160.0/24 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.164.0/24 #AS132070 INTERVOLVE-MANAGED-AS-AP Intervolve Pty Ltd, AU
101.234.170.0/23 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.193.0/24 #AS45270 OSSINI-AS-AP Ossini Pty Ltd, AU
101.234.200.0/23 #AS45270 OSSINI-AS-AP Ossini Pty Ltd, AU
101.234.202.0/24 #AS45270 OSSINI-AS-AP Ossini Pty Ltd, AU
101.234.72.0/22 #AS56135 DELOITTESERVICES-AS-AP DELOITTE SERVICES PTY LTD, AU
101.97.36.0/24 #AS139006 ZCPL-AS-AP Zoho Corporation PTY LTD, AU
102.129.214.0/24 #AS199959 CROWNCLOUD, AU
103.0.0.0/16 #AS131074 APNIC-JP-RD APNIC R&D Centre JP, AU
103.100.107.0/24 #AS136165 X4B-AS-AP X4B DDoS Protected Announcements, AU
103.100.11.0/24 #AS136954 OTR-AU On The Run Pty Ltd, AU
103.100.148.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.100.149.0/24 #AS45780 BROADBANDSOLUTIONS-AS-AP Broadband Solutions Pty Ltd, AU
103.100.198.0/24 #AS9336 XYZTELECOM-AS-AP XYZ Telecom Pty Ltd, AU
103.100.199.0/24 #AS131316 SLNET-AU Slnet Hosting, AU
103.100.224.0/22 #AS136972 GIGAFY-AS-AP Gigafy, AU
103.100.24.0/23 #AS136951 HPS-AS-AP Hospharm Pty Ltd, AU
103.100.28.0/22 #AS137549 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.100.36.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.100.44.0/23 #AS134155 TANGIBLETECHNOLOGY-AS-AP TANGIBLE TECHNOLOGY PTY LTD, AU
103.10.11.0/24 #AS56271 EBGAMES-AU Eagle Farm, QLD, AU
103.101.128.0/22 #AS136988 LEASEWEB-AS-AP LEASEWEB AUSTRALIA PTY LIMITED, AU
103.101.133.0/24 #AS137006 HAMBSSYSTEMSLTD-AS-AP HAMBS Systems Ltd, AU
103.101.168.0/22 #AS136994 SOUTHERNPHONE-AS-AP Southern Phone Company Ltd, AU
103.101.2.0/23 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.101.214.0/24 #AS135675 QLGSB-AS-AP Queensland Local Government Superannuation Board, AU
103.101.234.0/23 #AS137199 TELAIRPTYLTD-AS-AP Telair Pty Ltd, AU
103.101.248.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
103.10.126.0/24 #AS58409 LUMO-AU Lumo Energy Australia Pty Ltd, AU
103.102.105.0/24 #AS137025 PBPLPN-AS-AP Port of Brisbane Pty Ltd, AU
103.102.118.0/24 #AS45158 SYNTELPTYLTD-AU TASMANET, AU
103.102.164.0/24 #AS137032 IRIS-AS-AP Iris Communications Pty Ltd, AU
103.102.178.0/24 #AS134141 B2BWHOLESALE-AS-AP B2B Wholesale Pty Ltd, AU
103.102.222.0/23 #AS137042 READIITELPTYLTD-AS-AP Readiitel Pty Ltd, AU
103.102.225.0/24 #AS137036 BETHANIE-AS-AP The Bethanie Group Inc, AU
103.102.226.0/24 #AS137036 BETHANIE-AS-AP The Bethanie Group Inc, AU
103.102.232.0/23 #AS2764 AAPT AAPT Limited, AU
103.102.24.0/24 #AS56073 FIRSTFOCUS-AS-AP First Focus Pty Ltd, AU
103.102.245.0/24 #AS137044 VATCTMR-AS-AP VICTORIA AMATEUR TURF CLUB INCORPORATING THE MELBOURNE RACING, AU
103.103.1.0/24 #AS2764 AAPT AAPT Limited, AU
103.103.104.0/22 #AS134743 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.103.108.0/22 #AS58507 WL-AS-AP Wireline, AU
103.103.148.0/22 #AS23747 IIHPL-AS-AP Intelligent IP Hosting Pty Ltd, AU
103.103.184.0/22 #AS18165 RESMED-AS-SYD ResMed Dual Internet Gateway, AU
103.10.32.0/22 #AS17766 NEXON-AS-AP Nexon Asia Pacific Pty Ltd, AU
103.103.210.0/23 #AS137070 NTTPL-AS-AP Nationwide Towing & Transport Pty Ltd, AU
103.103.238.0/24 #AS137073 TTOTSGS-AS-AP THE TRUSTEES OF THE SYDNEY GRAMMAR SCHOOL, AU
103.103.76.0/22 #AS137057 AACO-AS-AP A.A. Company Pty Ltd, AU
103.104.156.0/22 #AS137192 BIDFOOD-AS-AP BIDFOOD AUSTRALIA LIMITED, AU
103.104.164.0/23 #AS135137 OAS-AS-AP OAS COMPUTERS PTY LIMITED, AU
103.104.230.0/24 #AS137204 THEBEND-AS-AP The Bend Motorsport Park, AU
103.104.236.0/22 #AS55581 BINARY-AU NEXT TELECOM, AU
103.104.240.0/23 #AS137204 THEBEND-AS-AP The Bend Motorsport Park, AU
103.104.32.0/23 #AS137079 MISP-AS-AP Melbourne Internet Service Provider, AU
103.10.48.0/23 #AS131446 MMG-AU Minerals and Metals Group Ltd, AU
103.104.82.0/23 #AS38813 EMANTRA-AS-AP Emantra Pty Ltd, AU
103.10.51.0/24 #AS131294 ANMM-AU 2 Murray Street, AU
103.105.112.0/24 #AS7575 AARNET-AS-AP Australian Academic and Research Network AARNet, AU
103.105.139.0/24 #AS133510 IBPL-AS-AP Infinet Broadband Pty Ltd, AU
103.105.145.0/24 #AS38858 SOMERVILLE-AS-AU-AP Somerville, AU
103.105.146.0/23 #AS38858 SOMERVILLE-AS-AU-AP Somerville, AU
103.105.168.0/23 #AS137234 DAVIDJONESPTYLTD-AS-AP David Jones Pty Limited, AU
103.105.198.0/24 #AS137244 HOMESTARTFINANCE-AS-AP HomeStart Finance, AU
103.105.219.0/24 #AS7474 OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU
103.106.14.0/23 #AS137250 AUSIP-AS-AP AUS-IP Services, AU
103.106.144.0/24 #AS135583 RBC-AS-AP ip2me Hosted Services, AU
103.106.87.0/24 #AS139615 AMEROPA-AU-AS Ameropa Australia Pty Ltd, AU
103.106.88.0/22 #AS134090 LEAP-AS-AP Leaptel, AU
103.107.128.0/22 #AS137399 KERNWIFIPTYLTD-AS-AP KernWi-Fi Pty Ltd, AU
103.107.16.0/24 #AS135406 BCD-AS-AP BCD NETWORKS PTY LTD, AU
103.107.178.0/23 #AS150798 WSACOLIMITED-AS-AP WSA CO Limited, AU
103.107.196.0/22 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.10.72.0/22 #AS134688 YOURFIBRE-AS-AP YourFibre Pty Ltd, AU
103.107.207.0/24 #AS137421 VFM-AS-AP Victoria Funds Management, AU
103.107.226.0/23 #AS136133 SECTIONIO-AS-AP SQUIXA PTY LIMITED, AU
103.107.246.0/23 #AS137079 MISP-AS-AP Melbourne Internet Service Provider, AU
103.107.39.0/24 #AS137388 OPENETPTYLTD-AS-AP Openet Pty Ltd, AU
103.10.8.0/24 #AS38830 LEVART-AS-AU-AP Levart Distribution Systems Pty Ltd, AU
103.108.116.0/24 #AS137433 SEEK-AS-AP Seek Limited, AU
103.108.124.0/24 #AS137242 CMC-AS-AP CMC MARKETS ASIA PACIFIC PTY LTD, AU
103.108.125.0/24 #AS137506 CMC-DC2-AS-AP CMC MARKETS ASIA PACIFIC PTY LTD, AU
103.108.168.0/22 #AS38084 ETHAN-AU-AP Ethan Group, AU
103.108.186.0/24 #AS138477 SCOTCHCOLLEGE-AS-AP Scotch College, AU
103.108.202.0/23 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.10.82.0/24 #AS17473 E2-CLOUD-AS-AP emPOWER Data Services, AU
103.108.222.0/23 #AS136201 BGUS-AS-AP BG UNIFIED SOLUTIONS PTY LTD, AU
103.108.228.0/24 #AS37988 ALPHA-LAYER-AS-AP Alpha Layer Pty Ltd, AU
103.108.229.0/24 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.108.230.0/23 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.108.253.0/24 #AS137457 BHP-AS-BNE BHP, 480 Queen Street, Australia, AU
103.108.50.0/24 #AS150801 RDPL-AS-AP Results Direct Pty Ltd, AU
103.108.68.0/22 #AS137426 SIMMITSERVICES-AS-AP Simm IT Services, AU
103.108.86.0/24 #AS24436 UQ-AS-AP University of Queensland, AU
103.108.92.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.109.112.0/22 #AS137455 SCAPL-AS-AP Sovereign Cloud Australia Pty Ltd, AU
103.109.123.0/24 #AS136805 NGVPL-AS-AP Next Generation Voice PTY LTD, AU
103.109.132.0/23 #AS136805 NGVPL-AS-AP Next Generation Voice PTY LTD, AU
103.109.140.0/24 #AS137460 BIZTACTIX-AS-AP Biztactix Pty Ltd, AU
103.109.142.0/23 #AS137460 BIZTACTIX-AS-AP Biztactix Pty Ltd, AU
103.109.144.0/24 #AS45491 SAP_SE_BLR SAP APJ, AU
103.109.18.0/23 #AS135401 SAP_DC_TYO SAP, AU
103.110.108.0/24 #AS2764 AAPT AAPT Limited, AU
103.110.142.0/23 #AS137562 SYD-AS-AP Sydney Airport Corporation Limited, AU
103.110.176.0/22 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.110.194.0/24 #AS137881 LIVEWIREIT-AS-AP LIVEWIRE IT PTY LTD, AU
103.110.28.0/23 #AS137473 LEVELUP-AS-AP LevelUP Solutions, AU
103.1.108.0/22 #AS55707 SIMTRONIC-AS-AP Simtronic, AU
103.11.10.0/24 #AS45838 ANTICLOCKWISE-AS-AP Anticlockwise Pty Ltd, AU
103.111.127.0/24 #AS38559 AIA-AUSTRALIA-AS-AP AIA Australia, AU
103.111.16.0/22 #AS134242 UTBOX-AS-AP UTBox Pty Ltd, AU
103.111.163.0/24 #AS63956 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.111.24.0/22 #AS132368 AUDATEXCOMAU-AS-AP AUDATEX AUSTRALIA PTY LTD, AU
103.11.142.0/24 #AS58446 PBL-AU Police Bank Limited, AU
103.11.144.0/22 #AS9290 GOHOSTING-AS-AP GoHosting, AU
103.11.160.0/22 #AS38456 SPEEDCAST-AU SPEEDCAST AUSTRALIA PTY LIMITED, AU
103.11.188.0/22 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
103.112.0.0/24 #AS140627 ONEQODEASSETS-AS-AP OneQode, AU
103.11.206.0/23 #AS45638 SYNERGYWHOLESALE-AP SYNERGY WHOLESALE PTY LTD, AU
103.112.100.0/24 #AS7474 OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU
103.112.101.0/24 #AS38456 SPEEDCAST-AU SPEEDCAST AUSTRALIA PTY LIMITED, AU
103.112.102.0/23 #AS137544 BULLHORN-AS-AP Bullhorn International Inc., AU
103.112.104.0/23 #AS136161 PIVOTEL-AS-AP Pivotel Group Pty Limited, AU
103.112.200.0/22 #AS135425 CAZNET-AS-AP Caznet, AU
103.112.66.0/24 #AS38559 AIA-AUSTRALIA-AS-AP AIA Australia, AU
103.112.76.0/23 #AS137534 NEXTCLICK-AS-AP NORTHERN BEACHES BROADBAND, AU
103.113.1.0/24 #AS138165 SISP-AS-AP Strategic Integrated Solutions PL, AU
103.113.169.0/24 #AS4826 VOCUS-BACKBONE-AS Vocus Connect International Backbone, AU
103.113.244.0/23 #AS137575 SQUAREALPHAPTYLTD-AS-AP SquareAlpha Pty Ltd, AU
103.113.250.0/23 #AS17766 NEXON-AS-AP Nexon Asia Pacific Pty Ltd, AU
103.114.12.0/22 #AS137576 EASYCOMMUNICATE-AS-AP EasyCable Pty Ltd, AU
103.114.131.0/24 #AS149847 TAH-AS-AP TABCORP HOLDINGS LIMITED, AU
103.114.145.0/24 #AS135336 HMPL-AS-AP HEALTH METRICS PTY LTD, AU
103.114.172.0/24 #AS137814 EBIT-AS-AP E-BIT Systems Pty Ltd, AU
103.114.190.0/23 #AS136000 LIGHTNING-AS-AP Lightning Broadband Pty Ltd, AU
103.114.206.0/24 #AS137433 SEEK-AS-AP Seek Limited, AU
103.114.207.0/24 #AS132593 HELLOWORLD-AS-AP Helloworld Travel Limited, AU
103.114.207.0/24 #AS2764 AAPT AAPT Limited, AU
103.114.34.0/24 #AS131316 SLNET-AU Slnet Hosting, AU
103.115.112.0/22 #AS137841 NET360-AS-AP NET360, AU
103.115.12.0/23 #AS137199 TELAIRPTYLTD-AS-AP Telair Pty Ltd, AU
103.115.136.0/22 #AS137847 CRISP-AS-AP Crisp Wireless Pty Ltd, AU
103.115.160.0/24 #AS137852 BIZCOMNT-AS-AP BIZCOM NT PTY. LTD., AU
103.115.163.0/24 #AS137852 BIZCOMNT-AS-AP BIZCOM NT PTY. LTD., AU
103.115.188.0/22 #AS58507 WL-AS-AP Wireline, AU
103.11.52.0/22 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.115.208.0/22 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.115.213.0/24 #AS137863 TMHA-AS-AP TOYOTA MATERIAL HANDLING AUSTRALIA PTY LIMITED, AU
103.115.224.0/23 #AS132896 MARKETCREATIONS-AS-AP MARKET CREATIONS, AU
103.115.226.0/24 #AS132896 MARKETCREATIONS-AS-AP MARKET CREATIONS, AU
103.115.233.0/24 #AS138002 GSN-AS-AP Global Speech Networks Pty Ltd, AU
103.115.7.0/24 #AS137822 ITCORP-AS-AP IT CORPORATE PTY. LTD., AU
103.116.0.0/22 #AS24516 VIRTUTEL-AS-AP Virtutel Pty Ltd, AU
103.116.170.0/24 #AS133415 TANGOTECHNOLOGY-AS-AP Tango Technology, AU
103.116.208.0/24 #AS4826 VOCUS-BACKBONE-AS Vocus Connect International Backbone, AU
103.116.211.0/24 #AS137903 TGCCEC-AS-AP THE STAR ENTERTAINMENT QLD LIMITED, AU
103.117.104.0/23 #AS136799 ONPLATINUM-AS-AP onPlatinum, AU
103.117.107.0/24 #AS38220 AMAZE-AS-AP Amaze Intelligence, AU
103.117.166.0/23 #AS136000 LIGHTNING-AS-AP Lightning Broadband Pty Ltd, AU
103.117.182.0/24 #AS17477 MCT-SYDNEY Macquarie Technology Operations Pty Limited, AU
103.117.21.0/24 #AS2713 BBIX-AS-AP BBIX Australia Pty Ltd, AU
103.117.228.0/22 #AS136000 LIGHTNING-AS-AP Lightning Broadband Pty Ltd, AU
103.117.63.0/24 #AS136201 BGUS-AS-AP BG UNIFIED SOLUTIONS PTY LTD, AU
103.118.120.0/24 #AS137965 PROV-AS-AP Public Record Office Victoria, AU
103.118.12.0/22 #AS9650 CITEC-AU-AP QLD Government Business IT, AU
103.118.122.0/24 #AS137529 SYDNEYOPERAHOUS-AS-AP Sydney Opera House Trust, AU
103.118.123.0/24 #AS2713 BBIX-AS-AP BBIX Australia Pty Ltd, AU
103.118.154.0/23 #AS2713 BBIX-AS-AP BBIX Australia Pty Ltd, AU
103.118.161.0/24 #AS148968 FALCORE-AS-AP Falcore Investments Pty Ltd, AU
103.118.162.0/23 #AS135662 DELOITTESERVICES-AS-AP DELOITTE SERVICES PTY LTD, AU
103.118.32.0/23 #AS58868 TECHPATH-AS-AP TechPath Pty Ltd, AU
103.1.184.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.1.188.0/22 #AS58507 WL-AS-AP Wireline, AU
103.11.9.0/24 #AS24305 EDGEIXPTYLTD-AS-AP EdgeIX Pty Ltd, AU
103.119.109.0/24 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.119.110.0/24 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.1.192.0/22 #AS55532 SQUIZ-AS-AP Squiz Pty Ltd, AU
103.119.253.0/24 #AS138017 ABBNET-AS-AP Abbotsleigh School, AU
103.119.32.0/24 #AS137980 UNIBIT-AS-AP Unibit Pty Ltd, AU
103.120.20.0/23 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.120.216.0/24 #AS2764 AAPT AAPT Limited, AU
103.120.217.0/24 #AS152597 BGCIS-AS-AP BGC Australia Pty Ltd, AU
103.1.204.0/22 #AS45570 NETPRES-AS-AP Network Presence, AU
103.120.42.0/23 #AS138028 BBSPL-AS-AP BOILEAU BUSINESS SOLUTIONS PTY LTD, AU
103.120.49.0/24 #AS135406 BCD-AS-AP BCD NETWORKS PTY LTD, AU
103.120.7.0/24 #AS138034 AAPL-AS-AP ATEN Australia Pty Ltd, AU
103.120.8.0/22 #AS135126 OCCOMPTYLTD-AS-AP Occom Pty Ltd, AU
103.12.100.0/22 #AS38333 SYMBIO-AS-AU-AP Symbio Networks, AU
103.12.10.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.12.108.0/22 #AS10148 UNIMELB-AS-AP The University of Melbourne, Melbourne, Victoria, AU
103.12.11.0/24 #AS58613 BONNTECH-AS-AP Bonntech Business Solutions, AU
103.121.124.0/22 #AS23943 HYPERSPIKE-AS-AU-AP Hyperspike Pty Ltd, AU
103.121.128.0/22 #AS131478 CLARENCE-AS-AP CLARENCE PROFESSIONAL OFFICES PTY. LIMITED, AU
103.1.212.0/22 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.121.207.0/24 #AS138173 MCL-AS-AP Mortgage Choice Limited, AU
103.121.232.0/23 #AS136812 FDX-AS-AP Fone Dynamics Pty Ltd, AU
103.121.248.0/23 #AS138174 UNITING-APNIC-NSW-AS-AP UNITING NSW.ACT, AU
103.12.128.0/22 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.121.56.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.12.159.0/24 #AS134791 ACS-AS-AP AUSTRALIAN COMPUTER SOLUTIONS PTY LTD, AU
103.1.216.0/22 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.12.165.0/24 #AS132330 HCAL-AS-AP Hillsong Church Australia Ltd, AU
103.12.201.0/24 #AS38611 BENDIGOTELCO-AS-AP Bendigo Community Telco, AU
103.12.202.0/23 #AS38611 BENDIGOTELCO-AS-AP Bendigo Community Telco, AU
103.122.102.0/24 #AS138216 BURWOODCOUNCIL-AS-AP Burwood Council, AU
103.122.103.0/24 #AS136976 WCL-AS-AP WHITEHAVEN COAL LIMITED, AU
103.122.123.0/24 #AS38903 AUSTUNITY-AS-AP Australian Unity Limited, AU
103.122.214.0/23 #AS139023 TITAN-AS-AP Titan Telecoms Pty Ltd, AU
103.122.4.0/24 #AS138194 CPLOQ-AS-AP CEREBRAL PALSY LEAGUE OF QUEENSLAND, AU
103.12.241.0/24 #AS2764 AAPT AAPT Limited, AU
103.122.54.0/24 #AS138207 ORACLECMS-AS-AP ORACLE CUSTOMER MANAGEMENT SOLUTIONS PTY. LTD., AU
103.1.228.0/22 #AS17766 NEXON-AS-AP Nexon Asia Pacific Pty Ltd, AU
103.122.88.0/23 #AS138214 RAMPANTTECHNOLOGY-AS-AP RAMPANT TECHNOLOGY PTY. LTD., AU
103.12.3.0/24 #AS58589 CLOUDEARTH-AU Cloud Earth Pty Ltd, AU
103.123.26.0/24 #AS138323 OPTICOMMCOPTYLTD-AS-AP Opticomm Co Pty Ltd, AU
103.12.36.0/22 #AS140646 RESETDATAPTYLTD-AS-AP ResetData Pty Ltd, AU
103.1.240.0/23 #AS24338 PROBE-AS-AU-AP Probe Contact Solutions Australia Pty Ltd, AU
103.12.4.0/22 #AS55803 HOSTOPIA-AU Hostopia Australia Web Pty Ltd, AU
103.124.36.0/23 #AS138386 THEATC-AS-AP Australian Turf Club Limited, AU
103.125.144.0/23 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.125.222.0/24 #AS138455 GH-AS-AP Grampians Health, AU
103.125.84.0/22 #AS132825 MYTEK-AS-AP MYTEK TRADING PTY LTD, AU
103.12.59.0/24 #AS7545 TPG-INTERNET-AP TPG Telecom Limited, AU
103.126.12.0/22 #AS136900 IQNETNSW-AS-AP IQ NET NSW PTY LTD, AU
103.126.144.0/22 #AS135060 TELAIRPTYLTD-AS-AP Telair Pty Ltd, AU
103.126.168.0/24 #AS2764 AAPT AAPT Limited, AU
103.126.171.0/24 #AS139578 SAAB-AS-AU Saab Australia Pty Ltd, AU
103.126.187.0/24 #AS138483 VANDERFIELDPTYLTD-AS-AP Vanderfield Pty Ltd, AU
103.126.192.0/23 #AS133120 HOSTED-AS-AP Hosted Network Pty Ltd, AU
103.126.194.0/24 #AS138484 HSRPL-AS-AP Hays Specialist Recruitment Australia Pty Ltd, AU
103.126.206.0/24 #AS4826 VOCUS-BACKBONE-AS Vocus Connect International Backbone, AU
103.126.224.0/23 #AS138488 MOONEE-VALLEY-COUNCIL-AS-AP Moonee Valley City Council, AU
103.126.25.0/24 #AS138469 VGCCC-AS-AP Victorian Gambling and Casino Control Commission, AU
103.126.27.0/24 #AS138468 WSL-AS-AP Wenona School Limited, AU
103.126.80.0/23 #AS133093 COMWIREITPTYLTD-AS-AP Comwire IT Pty Ltd, AU
103.127.120.0/22 #AS133217 AFOYI-AS-AP BACHBLUE PTY LTD TA AFOYI, AU
103.127.162.0/23 #AS138521 THENETWORKCREW-AS-AP The Network Crew Pty Ltd, AU
103.127.18.0/24 #AS138498 ALLETTE-AS-AP Allette Systems Australia Pty Ltd, AU
103.127.244.0/22 #AS138525 MINIPORTPTYLTD-AS-AP Miniport Pty Ltd, AU
103.127.40.0/22 #AS63956 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.12.8.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.12.86.0/23 #AS132315 INTILLISMART-AU Intillismart Pty Ltd, AU
103.129.154.0/24 #AS58409 LUMO-AU Lumo Energy Australia Pty Ltd, AU
103.129.224.0/23 #AS138209 PROGRAMMED-AS-AP Programmed Maintenance Services Limited, AU
103.129.226.0/24 #AS138209 PROGRAMMED-AS-AP Programmed Maintenance Services Limited, AU
103.12.96.0/23 #AS38195 SUPERLOOP-AS-AP Superloop, AU
103.130.154.0/23 #AS18030 PERTH-AS-AP PERTH AIRPORT PTY LTD, AU
103.130.244.0/23 #AS134555 ENCOO-AS-AP Encoo Pty Ltd, AU
103.130.246.0/23 #AS150162 KOMET-AS-AP Komet, AU
103.130.8.0/23 #AS138332 VOICEPRINTDATA-1-AS-AP VOICE PRINT & DATA AUSTRALIA PTY LTD, AU
103.13.100.0/22 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.131.13.0/24 #AS9507 NEXTHOP-AS-AP NextHop Pty Ltd, AU
103.131.14.0/23 #AS9507 NEXTHOP-AS-AP NextHop Pty Ltd, AU
103.131.160.0/23 #AS138363 RASON-AS-AP Royal Agricultural Society of NSW, AU
103.131.162.0/24 #AS140932 SPINKTEL1-AS-AP Spinktel Comms Pty Ltd, AU
103.131.198.0/23 #AS152464 ZONE-AS-AP Zone Technology Pty Ltd, AU
103.131.208.0/23 #AS138367 TFNSWOS-AS-AP Transport for NSW, AU
103.131.223.0/24 #AS18064 STANLEYCOLLEGE-AU 69 Outram St, AU
103.131.232.0/22 #AS45447 YLESS4U-AS-AP YLess4U Regional Broadband, AU
103.131.40.0/23 #AS138354 LOCALDC-AS-AP LocalDC Pty Ltd, AU
103.131.43.0/24 #AS138502 NEPL-AS-AP Xtnda, AU
103.13.166.0/23 #AS150329 SENSOR-AS-AP Sensor Dynamics Pty Ltd, AU
103.131.83.0/24 #AS38903 AUSTUNITY-AS-AP Australian Unity Limited, AU
103.13.186.0/23 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.132.126.0/23 #AS135516 NOWIT-AS-AP Now IT Solutions Ply Ltd, AU
103.132.202.0/24 #AS58418 COUNSELS-CHAMBERS-AS-AP Counsels Chambers Limited, AU
103.132.252.0/22 #AS138559 BOQL-AS-AP Bank of Queensland Ltd, AU
103.133.118.0/23 #AS7474 OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU
103.133.181.0/24 #AS4826 VOCUS-BACKBONE-AS Vocus Connect International Backbone, AU
103.133.188.0/23 #AS138323 OPTICOMMCOPTYLTD-AS-AP Opticomm Co Pty Ltd, AU
103.133.2.0/24 #AS138563 LITTLEMAN-AS-AP LittleMan Pty Ltd, AU
103.133.212.0/24 #AS138583 IMDEX-AS-AP Imdex Limited, AU
103.133.23.0/24 #AS45527 MCEC-AS-AP Melbourne Convention and Exhbition Centre, AU
