103.146.102.0/24 #AS215823 SPAUGURDATA Spaugur Data, IS
185.154.116.0/22 #AS56704 FARICE-AS, IS
185.154.117.0/24 #AS214215 FARICE-RISP-AS, IS
185.156.20.0/22 #AS205436 ASWINTERMUTE, IS
185.159.158.0/24 #AS56704 FARICE-AS, IS
185.165.168.0/22 #AS200651 FLOKINET, IS
185.169.188.0/23 #AS44275 OPINKERFI2024, IS
185.169.190.0/24 #AS44275 OPINKERFI2024, IS
185.169.191.0/24 #AS216017 OKH-2, IS
185.174.176.0/22 #AS206842 TACTICA, IS
185.177.132.0/22 #AS12969 VODAFONE_ICELAND, IS
185.177.132.0/22 #AS206743 SECURITASICELAND, IS
185.179.76.0/22 #AS206669 GAGNAVEITAN, IS
185.191.232.0/22 #AS51896 HRINGDU-AS, IS
185.198.144.0/22 #AS206010 RFS, IS
185.208.202.0/24 #AS216293 TS, IS
185.21.16.0/22 #AS12969 VODAFONE_ICELAND, IS
185.217.58.0/24 #AS56704 FARICE-AS, IS
185.219.148.0/22 #AS60690 OPEX-ASN, IS
185.221.176.0/22 #AS210080 TOLVUTHJONUSTAN, IS
185.236.130.0/24 #AS211815 LANDSVIRKJUN-AS, IS
185.24.0.0/22 #AS12969 VODAFONE_ICELAND, IS
185.240.40.0/22 #AS204588 PROTEGION, IS
185.246.188.0/22 #AS200651 FLOKINET, IS
185.247.224.0/23 #AS200651 FLOKINET, IS
185.247.226.0/24 #AS200651 FLOKINET, IS
185.248.120.0/22 #AS209214 IS-NETHEIMUR, IS
185.252.165.0/24 #AS56704 FARICE-AS, IS
185.25.252.0/22 #AS48685 OK-AS, IS
185.27.36.0/22 #AS60690 OPEX-ASN, IS
185.29.196.0/22 #AS203176 RB, IS
185.30.184.0/22 #AS29689 ORIGO-AS, IS
185.40.120.0/22 #AS44735 SIP-ASN, IS
185.43.30.0/24 #AS212771 NETVOKTUN, IS
185.44.204.0/24 #AS214185 AUSTURLJOS, IS
185.44.240.0/22 #AS199844 RARIK, IS
185.45.76.0/22 #AS62199 VERNEGLOBAL-, IS
185.56.12.0/22 #AS202030 ICELANDAIR-AS, IS
185.62.60.0/22 #AS43892 BASIS-AS, IS
185.66.215.0/24 #AS214185 AUSTURLJOS, IS
185.67.180.0/22 #AS43892 BASIS-AS, IS
185.67.84.0/22 #AS60690 OPEX-ASN, IS
185.86.220.0/22 #AS200868 KAPALVAEDING, IS
185.93.156.0/22 #AS1850 ISNIC IS TLD AdminReykjavik Internet Exchange RIX, IS
188.240.231.0/24 #AS200651 FLOKINET, IS
188.241.54.0/24 #AS200651 FLOKINET, IS
192.147.34.0/24 #AS6677 ICENET-AS1, IS
192.175.48.1/32 #AS201885 RU-AS, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS203590 SENSA-AS, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS206440 NETPANDAN, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS209356 LANDSPITALI, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS21268 VODAFONE_ICELAND, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS213364 IS-STEINN-6, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS214718 WISE, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS215793 SIMINN, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS39418 UMSJA, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS48568 IS-HINET, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS60259 SIMAFELAGID-ASN, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS60300 VODAFONE_ICELAND, IS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.71.218.0/24 #AS50613 THORDC-AS, IS
193.107.84.0/22 #AS50613 THORDC-AS, IS
193.109.16.0/20 #AS24743 SNERPA-NET Snerpa ehf, IS
193.181.194.0/24 #AS44515 IS-ADVANIA Hosting operations, IS
193.24.101.0/24 #AS214144 NEYDARLINAN-AS # Test, IS
193.243.188.0/24 #AS210747 IHOTELS, IS
193.4.0.0/19 #AS12969 VODAFONE_ICELAND, IS
193.4.128.0/17 #AS12969 VODAFONE_ICELAND, IS
193.4.48.0/21 #AS12969 VODAFONE_ICELAND, IS
193.4.56.0/23 #AS12969 VODAFONE_ICELAND, IS
193.4.58.0/23 #AS1850 ISNIC IS TLD AdminReykjavik Internet Exchange RIX, IS
193.4.60.0/22 #AS12969 VODAFONE_ICELAND, IS
193.4.64.0/18 #AS12969 VODAFONE_ICELAND, IS
194.105.224.0/19 #AS6677 ICENET-AS1, IS
194.144.0.0/16 #AS12969 VODAFONE_ICELAND, IS
194.31.61.0/24 #AS57729 KOPAVOGUR-AS, IS
194.68.14.0/24 #AS51019 LJOSNET-VPC Ljosnet, IS
194.68.191.0/24 #AS215823 SPAUGURDATA Spaugur Data, IS
195.246.230.0/23 #AS44925 THE-1984-AS, IS
195.58.146.0/24 #AS200651 FLOKINET, IS
212.108.116.0/24 #AS215608 SAMGONGUSTOFA, IS
212.126.224.0/19 #AS25244 DECODE-AS Sturlugata 8, IS
212.30.192.0/19 #AS6677 ICENET-AS1, IS
212.30.224.0/19 #AS44515 IS-ADVANIA Hosting operations, IS
212.46.60.0/24 #AS216293 TS, IS
213.167.128.0/19 #AS6677 ICENET-AS1, IS
213.176.128.0/19 #AS12969 VODAFONE_ICELAND, IS
213.181.126.0/23 #AS200868 KAPALVAEDING, IS
213.181.96.0/19 #AS44735 SIP-ASN, IS
213.190.96.0/19 #AS25509 VORTEX-AS Skulagotu 19, IS
213.213.128.0/19 #AS12969 VODAFONE_ICELAND, IS
213.218.160.0/24 #AS200651 FLOKINET, IS
213.220.64.0/18 #AS12969 VODAFONE_ICELAND, IS
217.151.160.0/19 #AS12969 VODAFONE_ICELAND, IS
217.171.208.0/20 #AS12969 VODAFONE_ICELAND, IS
217.28.176.0/20 #AS29689 ORIGO-AS, IS
217.9.128.0/20 #AS12969 VODAFONE_ICELAND, IS
31.15.112.0/21 #AS56704 FARICE-AS, IS
31.209.136.0/21 #AS51896 HRINGDU-AS, IS
31.209.144.0/20 #AS51896 HRINGDU-AS, IS
31.209.192.0/18 #AS6677 ICENET-AS1, IS
31.43.172.0/23 #AS211757 PANASCA, IS
37.152.64.0/22 #AS198815 RUV-AS, IS
37.152.71.0/24 #AS211589 RUV-CDN, IS
37.156.68.0/24 #AS200651 FLOKINET, IS
37.205.32.0/21 #AS59396 TRS, IS
37.228.128.0/23 #AS200651 FLOKINET, IS
37.235.49.0/24 #AS50613 THORDC-AS, IS
46.182.184.0/21 #AS44735 SIP-ASN, IS
46.22.96.0/20 #AS51896 HRINGDU-AS, IS
46.239.192.0/18 #AS12969 VODAFONE_ICELAND, IS
46.28.152.0/21 #AS197403 ISLANDSBANKI-AS1, IS
5.23.64.0/19 #AS12969 VODAFONE_ICELAND, IS
62.145.128.0/19 #AS12969 VODAFONE_ICELAND, IS
77.73.33.0/24 #AS202247 NETBERG, IS
78.40.248.0/21 #AS44735 SIP-ASN, IS
79.171.96.0/21 #AS43892 BASIS-AS, IS
80.248.16.0/20 #AS29689 ORIGO-AS, IS
81.15.0.0/17 #AS12969 VODAFONE_ICELAND, IS
82.112.64.0/19 #AS31236 RVK-AS Reykjavik City Hall, IS
82.148.64.0/19 #AS29348 FSNET-AS The Icelandic Ministry of Education, IS
82.221.0.0/17 #AS44515 IS-ADVANIA Hosting operations, IS
82.221.128.0/19 #AS50613 THORDC-AS, IS
82.221.161.0/24 #AS44515 IS-ADVANIA Hosting operations, IS
82.221.162.0/24 #AS44515 IS-ADVANIA Hosting operations, IS
82.221.164.0/24 #AS30818 IS-ADVANIA-TRANSIT, IS
82.221.168.0/24 #AS30818 IS-ADVANIA-TRANSIT, IS
82.221.170.0/23 #AS30818 IS-ADVANIA-TRANSIT, IS
82.221.4.0/24 #AS30818 IS-ADVANIA-TRANSIT, IS
82.221.96.0/19 #AS50613 THORDC-AS, IS
83.173.0.0/18 #AS31441 GR-AS, IS
85.116.64.0/19 #AS34678 TOLVUN-AS Tolvun Verkfraedi og Tolvuthjonusta, IS
85.193.77.0/24 #AS200651 FLOKINET, IS
85.220.0.0/17 #AS6677 ICENET-AS1, IS
87.121.23.0/24 #AS29689 ORIGO-AS, IS
87.237.32.0/22 #AS35834 CCP CCP ehf. Autonomous System, IS
87.237.36.0/24 #AS35834 CCP CCP ehf. Autonomous System, IS
87.237.38.0/23 #AS35834 CCP CCP ehf. Autonomous System, IS
88.135.70.0/24 #AS212926 HARPA-AS, IS
88.149.0.0/17 #AS12969 VODAFONE_ICELAND, IS
88.151.48.0/21 #AS39472 ARION-BANKI-AS, IS
89.104.128.0/19 #AS39532 LANDSBANKI-AS, IS
89.127.232.0/22 #AS44925 THE-1984-AS, IS
89.147.108.0/22 #AS44925 THE-1984-AS, IS
89.160.128.0/17 #AS12969 VODAFONE_ICELAND, IS
89.17.128.0/19 #AS51896 HRINGDU-AS, IS
91.199.134.0/24 #AS47828 VALITOR-AS, IS
91.208.22.0/24 #AS47545 VST-RAF-AS, IS
91.216.255.0/24 #AS51296 MEDIAN-, IS
91.220.138.0/24 #AS44735 SIP-ASN, IS
92.43.192.0/21 #AS44644 ARVAKUR-NET, IS
93.95.224.0/21 #AS44925 THE-1984-AS, IS
93.95.72.0/21 #AS60690 OPEX-ASN, IS
94.142.152.0/21 #AS48685 OK-AS, IS
94.198.190.0/24 #AS200651 FLOKINET, IS
94.198.48.0/23 #AS31236 RVK-AS Reykjavik City Hall, IS
94.250.244.0/23 #AS48685 OK-AS, IS
