176.221.96.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
185.31.184.0/22 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
193.43.240.0/22 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
193.106.76.0/22 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
193.200.118.0/23 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
194.8.68.0/23 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
194.116.132.0/23 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
194.149.240.0/24 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
195.93.134.0/23 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
195.93.222.0/23 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
213.136.224.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
217.70.48.0/20 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
217.75.48.0/20 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
217.144.192.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
217.172.224.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
213.73.8.0/21 #AS21064 OLMAN-COM-AS OLMAN, Metropolitan Area Network commercial AS, PL
213.73.16.0/22 #AS21064 OLMAN-COM-AS OLMAN, Metropolitan Area Network commercial AS, PL
213.184.28.0/22 #AS21064 OLMAN-COM-AS OLMAN, Metropolitan Area Network commercial AS, PL
80.72.192.0/20 #AS21068 IE-NET-AS, PL
158.66.0.0/16 #AS21111 CISG Deprtament Gospodarki Cyfrowej Ministerstwa Rozwoju i Technologii, PL
193.109.91.0/24 #AS21123 Centrum Przetwarzania Danych Asseco Poland S.A., PL
192.175.48.1/32 #AS21132 WRIX-OP ul. Fabryczna 16k, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.25.160.0/23 #AS21169 FIRSTDATAPOLSKA-AS Card Payment Processor, PL
193.109.115.0/24 #AS21169 FIRSTDATAPOLSKA-AS Card Payment Processor, PL
185.178.156.0/22 #AS21182 OPOLMAN-AS-EDU, PL
217.173.192.0/21 #AS21182 OPOLMAN-AS-EDU, PL
217.173.200.0/23 #AS21182 OPOLMAN-AS-EDU, PL
217.173.206.0/23 #AS21182 OPOLMAN-AS-EDU, PL
37.247.244.0/22 #AS21243 PLUSNET PlusGSM transit core network, PL
62.181.0.0/19 #AS21244 WARSAW-DATA-CENTER-AS, PL
195.245.226.0/24 #AS21288 SPRINTNET Internet Service Provider, PL
195.187.133.0/24 #AS21324 OSW, PL
193.109.212.0/24 #AS21328 NBP-AS, PL
195.85.196.0/24 #AS21328 NBP-AS, PL
91.209.56.0/24 #AS21344 PKO_BP, PL
193.109.225.0/24 #AS21344 PKO_BP, PL
194.242.62.0/24 #AS21344 PKO_BP, PL
217.149.247.0/24 #AS21344 PKO_BP, PL
80.92.230.0/24 #AS21390 WNET, PL
46.134.192.0/19 #AS21395 CPOP Content PoP, PL
188.47.192.0/18 #AS21395 CPOP Content PoP, PL
192.175.48.1/32 #AS21404 ZETOSA-AS, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
195.242.183.0/24 #AS21495 PZU-AS, PL
82.177.142.0/24 #AS24577 ONEFONE, PL
82.177.189.0/24 #AS24577 ONEFONE, PL
91.187.224.0/19 #AS24577 ONEFONE, PL
176.120.120.0/21 #AS24577 ONEFONE, PL
185.108.68.0/22 #AS24577 ONEFONE, PL
91.207.48.0/23 #AS24578 RIP-AS, PL
193.110.137.0/24 #AS24597 ITL-AS, PL
193.110.142.0/24 #AS24619 CDMPEKAO-AS, PL
31.172.136.0/23 #AS24685 DOMONET, PL
31.172.140.0/23 #AS24685 DOMONET, PL
80.92.231.0/24 #AS24685 DOMONET, PL
80.92.233.0/24 #AS24685 DOMONET, PL
80.92.234.0/23 #AS24685 DOMONET, PL
82.117.229.0/24 #AS24685 DOMONET, PL
82.117.244.0/24 #AS24685 DOMONET, PL
85.90.211.0/24 #AS24685 DOMONET, PL
85.90.223.0/24 #AS24685 DOMONET, PL
91.202.108.0/24 #AS24685 DOMONET, PL
91.226.1.0/24 #AS24685 DOMONET, PL
92.60.178.0/23 #AS24685 DOMONET, PL
128.0.170.0/24 #AS24685 DOMONET, PL
128.0.172.0/24 #AS24685 DOMONET, PL
128.0.174.0/24 #AS24685 DOMONET, PL
185.38.209.0/24 #AS24685 DOMONET, PL
185.39.196.0/24 #AS24685 DOMONET, PL
185.45.245.0/24 #AS24685 DOMONET, PL
185.45.246.0/24 #AS24685 DOMONET, PL
185.170.195.0/24 #AS24685 DOMONET, PL
193.111.0.0/24 #AS24685 DOMONET, PL
193.111.48.0/23 #AS24685 DOMONET, PL
194.246.121.0/24 #AS24685 DOMONET, PL
212.110.134.0/23 #AS24685 DOMONET, PL
212.110.152.0/23 #AS24685 DOMONET, PL
46.229.158.0/23 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
77.79.198.0/24 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
77.83.100.0/23 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
85.232.240.0/24 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
85.232.243.0/24 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
89.117.167.0/24 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
195.238.184.0/22 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
206.252.230.0/24 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
206.252.236.0/22 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
206.252.252.0/22 #AS24723 ATMAN-OFFICE-INTERNET-AS ATMAN, PL
193.111.37.0/24 #AS24724 ATMAN-FOREIGN-AS ATM S.A., PL
193.111.38.0/24 #AS24724 ATMAN-FOREIGN-AS ATM S.A., PL
212.91.8.0/23 #AS24724 ATMAN-FOREIGN-AS ATM S.A., PL
91.217.228.0/24 #AS24732 GPW-AS, PL
193.111.39.0/24 #AS24732 GPW-AS, PL
194.1.254.0/24 #AS24732 GPW-AS, PL
195.234.16.0/24 #AS24732 GPW-AS, PL
185.59.160.0/22 #AS24740 NTTDATA-PL-AS, PL
185.227.228.0/22 #AS24740 NTTDATA-PL-AS, PL
193.111.22.0/23 #AS24740 NTTDATA-PL-AS, PL
81.15.210.0/24 #AS24756 LUKAS-BANK-AS, PL
193.0.242.0/24 #AS24756 LUKAS-BANK-AS, PL
81.6.176.0/20 #AS24848 KIELMAN-EDU-AS Kielce, POLAND, PL
81.26.0.0/19 #AS24848 KIELMAN-EDU-AS Kielce, POLAND, PL
193.111.166.0/24 #AS24879 PEKAOSA-, PL
194.50.49.0/24 #AS24906 E-POINT-AS, PL
193.110.98.0/23 #AS24918 MERCEDES-BENZ-POLSKA-AS, PL
45.66.140.0/22 #AS24929 ITARTE, PL
77.79.237.0/24 #AS24929 ITARTE, PL
83.175.168.0/22 #AS24929 ITARTE, PL
91.198.120.0/24 #AS24929 ITARTE, PL
109.232.240.0/24 #AS24929 ITARTE, PL
194.54.24.0/22 #AS24929 ITARTE, PL
195.144.9.0/24 #AS24929 ITARTE, PL
195.177.100.0/22 #AS24929 ITARTE, PL
217.30.159.0/24 #AS24985 KACZMARSKI-AS, PL
193.201.167.0/24 #AS25055 BBG-PL-AS, PL
194.146.120.0/24 #AS25055 BBG-PL-AS, PL
81.15.246.0/24 #AS25070 COMARCH-AS, PL
88.135.188.0/22 #AS25070 COMARCH-AS, PL
91.201.152.0/22 #AS25070 COMARCH-AS, PL
91.236.193.0/24 #AS25070 COMARCH-AS, PL
109.197.33.0/24 #AS25070 COMARCH-AS, PL
109.197.34.0/24 #AS25070 COMARCH-AS, PL
109.197.38.0/24 #AS25070 COMARCH-AS, PL
193.56.68.0/24 #AS25070 COMARCH-AS, PL
193.56.70.0/24 #AS25070 COMARCH-AS, PL
193.201.136.0/22 #AS25070 COMARCH-AS, PL
195.69.208.0/22 #AS25070 COMARCH-AS, PL
195.136.174.0/24 #AS25070 COMARCH-AS, PL
213.199.213.0/24 #AS25070 COMARCH-AS, PL
193.201.164.0/24 #AS25075 SWPS Chodakowska 1931 Str., PL
212.87.240.0/23 #AS25084 CZESTMAN-COM-AS Non-academic AS dedicated to Metropolitan Area Network, PL
212.87.244.0/22 #AS25084 CZESTMAN-COM-AS Non-academic AS dedicated to Metropolitan Area Network, PL
5.252.200.0/23 #AS25154 CURRENCYONESA, PL
212.91.18.0/23 #AS25154 CURRENCYONESA, PL
193.178.164.0/24 #AS25439 PWPW-AS, PL
62.93.32.0/19 #AS25468 PL-POLRZE-AS Academic network in Rzeszow, Poland, PL
89.188.196.0/22 #AS25468 PL-POLRZE-AS Academic network in Rzeszow, Poland, PL
89.188.200.0/21 #AS25468 PL-POLRZE-AS Academic network in Rzeszow, Poland, PL
89.188.208.0/21 #AS25468 PL-POLRZE-AS Academic network in Rzeszow, Poland, PL
89.188.216.0/22 #AS25468 PL-POLRZE-AS Academic network in Rzeszow, Poland, PL
194.41.12.0/22 #AS25495 SEJM-AS, PL
45.154.222.0/23 #AS25506 TVP-AS, PL
195.245.213.0/24 #AS25506 TVP-AS, PL
213.189.46.0/24 #AS25506 TVP-AS, PL
195.245.217.0/24 #AS25523 PR-AS, PL
82.177.246.0/24 #AS25552 GNB-AS Katowice-Poland-Velobank, PL
91.236.13.0/24 #AS25552 GNB-AS Katowice-Poland-Velobank, PL
193.104.163.0/24 #AS25552 GNB-AS Katowice-Poland-Velobank, PL
195.245.222.0/24 #AS25552 GNB-AS Katowice-Poland-Velobank, PL
194.242.52.0/24 #AS25557 PKE-AS ul. Sudecka 95-97, PL
195.245.224.0/24 #AS25557 PKE-AS ul. Sudecka 95-97, PL
217.173.205.0/24 #AS25584 OPOLMAN-AS-COM, PL
31.25.248.0/21 #AS28678 KOSMAN-EDU-AS, PL
62.108.160.0/20 #AS28678 KOSMAN-EDU-AS, PL
62.108.176.0/21 #AS28678 KOSMAN-EDU-AS, PL
193.243.142.0/23 #AS28689 ZEP-INFO-AS, PL
77.65.153.0/24 #AS28732 ANIXE, PL
194.213.22.0/24 #AS28732 ANIXE, PL
46.20.49.0/24 #AS28785 ACL_CDS, PL
213.222.192.0/19 #AS28785 ACL_CDS, PL
62.108.184.0/21 #AS28797 KOSMAN-COM-AS, PL
195.46.40.0/22 #AS28815 LERKINS-MNT, PL
77.79.226.0/24 #AS28893 TRECOM-AS ul. Mokotowska 46, 00-641 Warszawa, POLAND, PL
91.213.64.0/24 #AS28893 TRECOM-AS ul. Mokotowska 46, 00-641 Warszawa, POLAND, PL
195.47.201.0/24 #AS28950 ZSZIK-AS, PL
91.229.213.0/24 #AS28978 COIG-AS, PL
176.32.160.0/20 #AS28978 COIG-AS, PL
185.115.44.0/22 #AS28978 COIG-AS, PL
195.39.216.0/23 #AS28978 COIG-AS, PL
195.43.156.0/24 #AS28978 COIG-AS, PL
192.175.48.1/32 #AS28982 E-WRO, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
195.68.192.0/23 #AS29023 RABEN-AS, PL
195.85.199.0/24 #AS29103 GSR Gdansk, Poland, PL
185.101.72.0/22 #AS29135 NETSHARKS, PL
37.209.128.0/19 #AS29167 BSA-PLUS-INTERNET, PL
84.39.160.0/20 #AS29167 BSA-PLUS-INTERNET, PL
93.154.128.0/17 #AS29167 BSA-PLUS-INTERNET, PL
151.248.32.0/20 #AS29167 BSA-PLUS-INTERNET, PL
37.251.192.0/21 #AS29205 VERCOM, PL
45.156.236.0/24 #AS29205 VERCOM, PL
91.230.36.0/23 #AS29205 VERCOM, PL
185.49.12.0/22 #AS29205 VERCOM, PL
185.100.228.0/22 #AS29205 VERCOM, PL
185.192.102.0/24 #AS29205 VERCOM, PL
188.214.16.0/23 #AS29205 VERCOM, PL
188.214.19.0/24 #AS29205 VERCOM, PL
188.214.20.0/24 #AS29205 VERCOM, PL
188.214.23.0/24 #AS29205 VERCOM, PL
188.215.64.0/24 #AS29205 VERCOM, PL
193.135.21.0/24 #AS29205 VERCOM, PL
195.85.243.0/24 #AS29223 KDPW-AS, PL
178.217.32.0/21 #AS29245 PL-REYU-NET, PL
194.28.168.0/22 #AS29245 PL-REYU-NET, PL
91.237.196.0/24 #AS29251 SCANIA-NET-AS, PL
193.27.5.0/24 #AS29254 ZE-WALBRZYCH-AS, PL
195.149.64.0/24 #AS29272 WARTA-AS, PL
194.177.4.0/23 #AS29305 OF-PL-AS, PL
31.6.218.0/24 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
31.11.128.0/17 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
31.22.96.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
31.41.208.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
31.135.168.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
37.8.192.0/18 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
37.77.152.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
62.122.112.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
77.222.224.0/19 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
78.31.152.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
78.88.0.0/16 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
82.139.0.0/18 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
83.143.40.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
83.143.136.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
83.243.104.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
88.156.0.0/16 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
89.151.0.0/18 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
89.229.64.0/19 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
89.229.192.0/20 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
89.231.96.0/19 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
91.192.76.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
91.226.6.0/23 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
91.230.159.0/24 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
91.230.164.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
91.231.116.0/23 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
91.238.232.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
93.105.0.0/16 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
93.176.192.0/18 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
94.231.48.0/20 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
94.251.168.0/24 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
95.160.0.0/16 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
109.107.0.0/19 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
109.197.56.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
109.197.64.0/21 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
109.241.0.0/16 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
158.255.95.0/24 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
178.235.0.0/16 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
185.51.180.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
192.166.120.0/23 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
193.201.18.0/23 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
194.54.188.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
195.26.72.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
195.28.170.0/23 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
195.191.162.0/23 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
195.225.92.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
195.242.252.0/22 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
213.92.160.0/19 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
213.92.192.0/18 #AS29314 VECTRANET-AS Al. Zwyciestwa 253, 81-525 Gdynia, Poland, PL
192.175.48.1/32 #AS29318 WINCANTON-PL-AS ul. Kolejowa 1, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
82.139.146.0/23 #AS29414 ASN-BIAMAN-COM MSK BIAMAN, PL
82.139.160.0/21 #AS29414 ASN-BIAMAN-COM MSK BIAMAN, PL
82.139.184.0/21 #AS29414 ASN-BIAMAN-COM MSK BIAMAN, PL
130.180.192.0/21 #AS29414 ASN-BIAMAN-COM MSK BIAMAN, PL
185.61.4.0/23 #AS29414 ASN-BIAMAN-COM MSK BIAMAN, PL
195.149.95.0/24 #AS29445 BSB-ASN, PL
195.149.124.0/24 #AS29501 NFZ-POZ, PL
79.110.8.0/21 #AS29512 TVK-WROC-AS Cable TVK in area of Wroclaw, PL
195.140.236.0/22 #AS29512 TVK-WROC-AS Cable TVK in area of Wroclaw, PL
91.198.146.0/24 #AS29522 CF-KRK, PL
91.225.28.0/22 #AS29522 CF-KRK, PL
94.152.0.0/16 #AS29522 CF-KRK, PL
185.11.100.0/22 #AS29522 CF-KRK, PL
193.143.77.0/24 #AS29522 CF-KRK, PL
194.48.216.0/24 #AS29522 CF-KRK, PL
194.60.251.0/24 #AS29522 CF-KRK, PL
194.169.227.0/24 #AS29522 CF-KRK, PL
195.149.224.0/21 #AS29522 CF-KRK, PL
195.182.14.0/24 #AS29522 CF-KRK, PL
80.51.76.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
80.51.253.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
80.54.110.0/23 #AS29535 MIX2_OPENPEERING ASN shared between, PL
83.2.0.0/20 #AS29535 MIX2_OPENPEERING ASN shared between, PL
83.2.56.0/22 #AS29535 MIX2_OPENPEERING ASN shared between, PL
178.42.9.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
195.149.236.0/22 #AS29535 MIX2_OPENPEERING ASN shared between, PL
212.160.212.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
212.244.33.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
213.25.41.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
213.25.164.0/24 #AS29535 MIX2_OPENPEERING ASN shared between, PL
193.178.132.0/24 #AS29536 EUROBANK-AS, PL
188.246.128.0/19 #AS29553 VLINE-AS, PL
217.76.112.0/20 #AS29553 VLINE-AS, PL
91.194.228.0/23 #AS29593 ENDOR-AS, PL
193.189.72.0/23 #AS29593 ENDOR-AS, PL
87.239.88.0/22 #AS29596 GENERACJA-AS, PL
87.239.92.0/23 #AS29596 GENERACJA-AS, PL
87.239.94.0/24 #AS29596 GENERACJA-AS, PL
91.232.183.0/24 #AS29596 GENERACJA-AS, PL
93.175.96.0/19 #AS29596 GENERACJA-AS, PL
128.127.12.0/22 #AS29596 GENERACJA-AS, PL
193.19.212.0/22 #AS29596 GENERACJA-AS, PL
194.54.20.0/22 #AS29596 GENERACJA-AS, PL
194.146.216.0/22 #AS29596 GENERACJA-AS, PL
193.17.214.0/24 #AS29620 TAMI-AS, PL
195.149.118.0/24 #AS29620 TAMI-AS, PL
195.245.94.0/23 #AS29620 TAMI-AS, PL
89.206.0.0/18 #AS29649 LIMES-AS, PL
185.162.96.0/22 #AS29649 LIMES-AS, PL
188.252.0.0/17 #AS29649 LIMES-AS, PL
193.107.212.0/22 #AS29649 LIMES-AS, PL
193.110.228.0/22 #AS29649 LIMES-AS, PL
195.64.150.0/23 #AS29649 LIMES-AS, PL
192.175.48.1/32 #AS29653 ELPOINFORMATYKA-NET-AS, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
91.189.72.0/21 #AS29665 E-PLAN-AS, PL
93.157.65.0/24 #AS29665 E-PLAN-AS, PL
93.157.66.0/23 #AS29665 E-PLAN-AS, PL
93.157.68.0/24 #AS29665 E-PLAN-AS, PL
93.157.70.0/24 #AS29665 E-PLAN-AS, PL
192.175.48.1/32 #AS29693 IMMT, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
85.232.244.0/24 #AS30725 ESKOM-AS, PL
91.226.26.0/23 #AS30725 ESKOM-AS, PL
193.28.0.0/24 #AS30730 ZE-WROCLAW-AS, PL
91.236.130.0/24 #AS30731 MAZUR-AS, PL
195.22.96.0/22 #AS30731 MAZUR-AS, PL
195.254.138.0/23 #AS30731 MAZUR-AS, PL
89.200.144.0/21 #AS30753 COMPOWER Compower Internet Service Provider, PL
193.0.208.0/22 #AS30753 COMPOWER Compower Internet Service Provider, PL
194.146.252.0/22 #AS30753 COMPOWER Compower Internet Service Provider, PL
81.6.128.0/21 #AS30778 KIELMAN-COM-AS, PL
81.6.136.0/23 #AS30778 KIELMAN-COM-AS, PL
81.6.138.0/24 #AS30778 KIELMAN-COM-AS, PL
81.6.140.0/22 #AS30778 KIELMAN-COM-AS, PL
130.255.152.0/21 #AS30782 TOYA Sp. z o.o., PL
185.91.212.0/22 #AS30782 TOYA Sp. z o.o., PL
195.234.20.0/23 #AS30782 TOYA Sp. z o.o., PL
45.151.216.0/22 #AS30813 OSTROG-NET-AS 47-400 Raciborz, PL
78.31.88.0/21 #AS30813 OSTROG-NET-AS 47-400 Raciborz, PL
193.27.6.0/24 #AS30816 KIRNET-AS, PL
192.175.48.1/32 #AS30824 MULTIMEDIA-AS-2 Cable TV operator in Poland., PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
31.133.16.0/21 #AS30838 TELPOL, PL
46.148.0.0/20 #AS30838 TELPOL, PL
83.242.64.0/19 #AS30838 TELPOL, PL
87.99.96.0/19 #AS30838 TELPOL, PL
91.204.140.0/22 #AS30838 TELPOL, PL
93.175.64.0/19 #AS30838 TELPOL, PL
193.106.84.0/22 #AS30838 TELPOL, PL
193.203.208.0/23 #AS30838 TELPOL, PL
195.211.0.0/22 #AS30838 TELPOL, PL
83.142.168.0/21 #AS30851 SILEMAN-RUDASL-AS, PL
85.11.64.0/18 #AS30851 SILEMAN-RUDASL-AS, PL
85.198.192.0/18 #AS30851 SILEMAN-RUDASL-AS, PL
93.176.192.0/18 #AS30851 SILEMAN-RUDASL-AS, PL
193.24.204.0/22 #AS30851 SILEMAN-RUDASL-AS, PL
217.173.160.0/20 #AS30851 SILEMAN-RUDASL-AS, PL
192.175.48.1/32 #AS30876 ONET-PL-AS2 Onet.pl portal network, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.92.156.0/22 #AS30884 OWSS-AS, PL
185.93.132.0/22 #AS30884 OWSS-AS, PL
86.111.96.0/19 #AS30923 TVKTORUN-AS CaTV Torun Network, Poland, PL
185.131.32.0/22 #AS30923 TVKTORUN-AS CaTV Torun Network, Poland, PL
217.173.176.0/20 #AS30923 TVKTORUN-AS CaTV Torun Network, Poland, PL
77.92.32.0/19 #AS30975 TKK Kotarbinskiego 3, 75-352 Koszalin, PL
83.145.128.0/18 #AS30975 TKK Kotarbinskiego 3, 75-352 Koszalin, PL
91.197.148.0/22 #AS30975 TKK Kotarbinskiego 3, 75-352 Koszalin, PL
193.17.172.0/24 #AS31026 AESA-AS, PL
194.246.124.0/23 #AS31032 CALL-CENTER-POLAND-AS, PL
193.17.84.0/24 #AS31045 VTS HQ Division, PL
193.17.41.0/24 #AS31080 O2-AS, PL
193.222.135.0/24 #AS31080 O2-AS, PL
91.198.76.0/24 #AS31105 GUGIK-AS, PL
185.75.0.0/22 #AS31106 WPT-AS, PL
45.159.80.0/24 #AS31116 MYBOX-AS Bucharest, Romania, PL
195.85.85.0/24 #AS31116 MYBOX-AS Bucharest, Romania, PL
91.211.252.0/22 #AS31129 MTP-POZNAN-AS POLAND, PL
193.23.51.0/24 #AS31129 MTP-POZNAN-AS POLAND, PL
81.168.254.0/24 #AS31165 PGF-AS, PL
193.221.126.0/24 #AS31165 PGF-AS, PL
193.25.184.0/23 #AS31181 UFG-AS, PL
2.57.136.0/22 #AS31229 PL-BEYOND-AS, PL
5.149.160.0/21 #AS31229 PL-BEYOND-AS, PL
31.220.144.0/24 #AS31229 PL-BEYOND-AS, PL
31.220.146.0/24 #AS31229 PL-BEYOND-AS, PL
46.28.8.0/22 #AS31229 PL-BEYOND-AS, PL
46.28.12.0/23 #AS31229 PL-BEYOND-AS, PL
46.28.14.0/24 #AS31229 PL-BEYOND-AS, PL
46.245.192.0/21 #AS31229 PL-BEYOND-AS, PL
91.102.112.0/21 #AS31229 PL-BEYOND-AS, PL
91.199.95.0/24 #AS31229 PL-BEYOND-AS, PL
91.202.100.0/23 #AS31229 PL-BEYOND-AS, PL
91.232.249.0/24 #AS31229 PL-BEYOND-AS, PL
91.232.250.0/23 #AS31229 PL-BEYOND-AS, PL
92.43.112.0/21 #AS31229 PL-BEYOND-AS, PL
109.205.48.0/21 #AS31229 PL-BEYOND-AS, PL
178.216.200.0/21 #AS31229 PL-BEYOND-AS, PL
185.23.20.0/22 #AS31229 PL-BEYOND-AS, PL
185.49.148.0/22 #AS31229 PL-BEYOND-AS, PL
193.29.205.0/24 #AS31229 PL-BEYOND-AS, PL
193.187.64.0/24 #AS31229 PL-BEYOND-AS, PL
193.187.66.0/23 #AS31229 PL-BEYOND-AS, PL
