161.81.0.0/16 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
182.239.64.0/23 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
182.239.66.0/24 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
182.239.68.0/22 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
182.239.96.0/23 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
182.239.98.0/24 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
182.239.100.0/22 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.96.0/24 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.100.0/22 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.104.0/21 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.112.0/21 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.121.0/24 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.122.0/23 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.124.0/23 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
203.142.126.0/24 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.122.16.0/23 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.122.24.0/23 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.122.32.0/19 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.122.64.0/18 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.122.128.0/17 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.123.128.0/18 #AS137872 PEOPLESPHONE-HK China Mobile Hong Kong Company Limited, HK
223.197.115.0/24 #AS135621 PCCW-BIA-HK PCCW IMS Ltd (PCCW Business Internet Access), HK
103.15.28.0/22 #AS55639 ASIAWEB-SERVICE-HK Asia Web Services Ltd, HK
111.90.157.0/24 #AS55639 ASIAWEB-SERVICE-HK Asia Web Services Ltd, HK
180.235.132.0/22 #AS55639 ASIAWEB-SERVICE-HK Asia Web Services Ltd, HK
202.52.136.0/24 #AS55639 ASIAWEB-SERVICE-HK Asia Web Services Ltd, HK
202.53.148.0/22 #AS55639 ASIAWEB-SERVICE-HK Asia Web Services Ltd, HK
118.103.246.0/24 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
202.70.160.0/23 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
202.70.163.0/24 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
202.70.164.0/22 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
202.70.168.0/23 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
202.70.170.0/24 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
202.70.172.0/23 #AS17990 GLOBALNETHK-AP Globalnet Communication Ltd, HK
43.224.244.0/22 #AS63855 XIAOMIHKLIMITED-AS XIAOMI H.K. Limited, HK
82.38.42.0/23 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
82.38.46.0/23 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
82.38.81.0/24 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
103.177.44.0/23 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
163.5.104.0/24 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
178.83.82.0/23 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
216.38.168.0/23 #AS206675 PUMPCLOUD PAN-LIAN TECHNOLOGY CO. LIMITED, HK
43.224.248.0/23 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
45.116.76.0/24 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
103.96.72.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
103.215.80.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
103.229.124.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
103.243.24.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
122.10.112.0/21 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
144.48.240.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
185.216.116.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
185.232.92.0/24 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
185.243.240.0/22 #AS24544 LAWSCLOUDINFRASTRUCTURELIMITED-AS-HK Law's Cloud Infrastructure Limited, HK
102.164.56.0/22 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
154.92.104.0/22 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
156.249.82.0/24 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
156.249.96.0/24 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
156.249.115.0/24 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
216.116.169.0/24 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
216.116.170.0/24 #AS140595 YCHKL-AS-AP YunJie Communication HK Company Limited, HK
45.146.232.0/23 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
46.20.109.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
82.22.78.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
88.80.139.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
89.43.141.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
104.234.20.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
104.234.176.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
141.11.22.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
141.98.75.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
151.243.20.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
154.64.227.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
178.214.220.0/24 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
185.113.66.0/23 #AS147293 NEAROUTE-AS-AP NEAROUTE LIMITED, HK
103.205.17.0/24 #AS213516 DINGLU DINGLU CO. LIMITED, HK
103.189.128.0/24 #AS149864 SMARTVICLIMITED-AS-AP Smart Vic Limited, HK
158.182.0.0/16 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
175.159.144.0/21 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
175.159.152.0/22 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
175.159.156.0/23 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
175.159.232.0/21 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
202.125.240.0/21 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
202.125.248.0/22 #AS4605 ERX-HKBUNET Hong Kong Baptist University, HK
103.65.98.0/23 #AS135552 SHINETOWN-AS-AP Shinetown Telecommunication Limited, HK
39.109.104.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
39.109.112.0/22 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
39.109.116.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
39.109.122.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
39.109.126.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
43.225.157.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
43.225.158.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
45.249.94.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.80.25.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.80.27.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.97.3.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.100.208.0/22 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.144.29.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.146.158.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.210.236.0/22 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
103.218.2.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
118.193.55.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.83.12.0/22 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.83.16.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.92.14.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.92.16.0/22 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.94.5.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.209.4.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.211.12.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.211.14.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
154.221.16.0/20 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
156.236.66.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
156.236.70.0/23 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
156.236.72.0/24 #AS142403 YISUCLOUDLTD-HK YISU CLOUD LIMITED, HK
163.61.150.0/23 #AS153611 CLOUDHKLIMITED-AS-AP CLOUD (HK) LIMITED, HK
202.3.6.0/23 #AS9242 AFE-AS-AP N2N-AFE (Hong Kong) Limited, HK
103.11.109.0/24 #AS58453 CMI-INT-HK China Mobile International Limited, HK
223.118.0.0/15 #AS58453 CMI-INT-HK China Mobile International Limited, HK
223.120.0.0/17 #AS58453 CMI-INT-HK China Mobile International Limited, HK
223.121.0.0/17 #AS58453 CMI-INT-HK China Mobile International Limited, HK
160.30.64.0/23 #AS153193 SCHL-AS-AP SINNET CLOUD HK LIMITED, HK
180.149.252.0/22 #AS55334 ASL-338-HK Access Solutions Limited, HK
182.239.48.0/21 #AS55334 ASL-338-HK Access Solutions Limited, HK
182.239.56.0/24 #AS55334 ASL-338-HK Access Solutions Limited, HK
182.239.58.0/24 #AS55334 ASL-338-HK Access Solutions Limited, HK
182.239.61.0/24 #AS55334 ASL-338-HK Access Solutions Limited, HK
43.252.132.0/22 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
103.30.68.0/22 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
118.103.144.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
118.103.146.0/24 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
118.103.149.0/24 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
118.103.150.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
118.103.152.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
118.103.156.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
203.129.64.0/19 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
203.184.128.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
210.0.234.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
218.189.64.0/23 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
218.189.67.0/24 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
218.189.68.0/22 #AS10032 HGC-AS-AP BDX DC Services (HK) Limited, HK
112.213.64.0/24 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
112.213.69.0/24 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
112.213.79.0/24 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
202.122.96.0/21 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
202.122.104.0/22 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
202.122.108.0/23 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
202.122.110.0/24 #AS23749 GLOBAL-TRANSIT-AS-HKCOLO-AP hkcolo limited, HK
103.100.168.0/24 #AS134492 GSJZCHINATECHNOLO-AS-AP Guosheng IDC lease, HK
103.146.101.0/24 #AS134492 GSJZCHINATECHNOLO-AS-AP Guosheng IDC lease, HK
103.148.117.0/24 #AS134492 GSJZCHINATECHNOLO-AS-AP Guosheng IDC lease, HK
45.126.4.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
45.126.216.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
103.195.108.0/23 #AS4646 SUNNYVISION SunnyVision Limited, HK
103.236.136.0/23 #AS4646 SUNNYVISION SunnyVision Limited, HK
103.236.139.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
117.18.66.0/23 #AS4646 SUNNYVISION SunnyVision Limited, HK
117.18.72.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
117.18.74.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
117.18.78.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
124.248.196.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
124.248.207.0/24 #AS4646 SUNNYVISION SunnyVision Limited, HK
103.243.8.0/23 #AS24545 HKTEL-AS-AP South China Telecommunications (H.K.) Limited, HK
203.81.176.0/24 #AS24545 HKTEL-AS-AP South China Telecommunications (H.K.) Limited, HK
203.81.178.0/24 #AS24545 HKTEL-AS-AP South China Telecommunications (H.K.) Limited, HK
203.81.180.0/22 #AS24545 HKTEL-AS-AP South China Telecommunications (H.K.) Limited, HK
202.43.227.0/24 #AS149282 KTGL-AS-AP Kyushu Telecom Global Limited, HK
103.5.79.0/24 #AS134753 WKCDA-AS-AP West Kowloon Cultural District Authority, HK
103.108.248.0/23 #AS134753 WKCDA-AS-AP West Kowloon Cultural District Authority, HK
103.108.250.0/24 #AS134753 WKCDA-AS-AP West Kowloon Cultural District Authority, HK
103.144.96.0/23 #AS133852 DBS-AS-AP DBS Bank (Hong Kong) Limited, HK
202.0.183.0/24 #AS133852 DBS-AS-AP DBS Bank (Hong Kong) Limited, HK
103.108.172.0/24 #AS150666 SCML-AS-AP SMBC Capital Markets (Asia) Limited, HK
31.24.253.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
45.192.132.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
45.253.244.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
66.93.12.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
89.213.3.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
95.134.30.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
103.211.68.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
103.211.228.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
121.78.23.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
144.31.36.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.81.159.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.82.19.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.90.138.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.94.2.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.193.8.0/21 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.193.162.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.135.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.140.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.156.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.164.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.172.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.184.0/21 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.196.216.0/21 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.197.16.0/21 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.197.26.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.211.128.0/19 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.217.192.0/20 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.217.232.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.222.128.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.222.140.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
154.222.148.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
156.225.14.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
156.230.0.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
156.233.3.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
156.245.8.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
156.245.176.0/21 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
156.255.48.0/21 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
162.141.96.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
163.227.196.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
178.95.240.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
185.158.149.0/24 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
193.203.214.0/23 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
203.168.240.0/22 #AS17497 LGHL-AS-AP liasail global hongkong limited, HK
45.195.58.0/23 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
69.172.64.0/19 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
154.194.34.0/24 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
156.241.4.0/22 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
173.248.224.0/19 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
202.180.165.0/24 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
223.197.112.0/24 #AS132585 SIA-HK-AS PCCW IMS Ltd (PCCW Business Internet Access), HK
103.91.151.0/24 #AS151616 HOSTLINKHK-AS-AP HOSTLINK (HK) LIMITED, HK
182.239.44.0/22 #AS55512 HONGKONG3-HK HONGKONG SUHUA TRADING LIMITED, HK
156.238.208.0/20 #AS150313 HIVEDATALIMITED-AS-AP HiveData Limited, HK
5.10.136.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
5.154.130.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
5.154.144.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
5.154.154.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
5.154.156.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
45.195.4.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
45.195.7.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
45.196.24.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
45.196.27.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
61.186.2.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
63.140.4.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
63.140.8.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
63.140.14.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
69.194.163.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
69.194.171.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
69.194.172.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
79.139.4.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
79.139.6.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
79.139.8.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
79.139.10.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
79.139.13.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
79.139.14.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
95.130.192.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
95.130.194.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
95.130.199.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
102.217.164.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
102.217.166.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.38.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.100.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.106.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.109.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.120.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.122.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.124.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
121.59.140.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
125.93.27.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
131.221.80.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
139.189.127.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
145.14.64.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
145.14.69.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
145.14.79.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
145.14.92.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
147.78.133.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
147.78.135.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
154.72.40.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
154.72.43.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
154.72.45.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
154.72.46.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
154.209.21.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
154.209.23.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
156.238.20.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
156.242.4.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
156.242.8.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
183.91.51.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
183.91.63.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
185.75.172.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
199.114.224.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
202.55.2.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
202.55.5.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
202.55.6.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
202.55.8.0/21 #AS23764 CTGNET China Telecom Global Limited, HK
202.55.16.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.12.200.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
203.12.204.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.14.188.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
203.15.113.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.15.116.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.15.118.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.19.32.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
203.19.37.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.19.38.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.20.51.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.20.136.0/21 #AS23764 CTGNET China Telecom Global Limited, HK
203.33.8.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.33.10.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.34.192.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.34.194.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.34.196.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.34.199.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.56.55.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.80.136.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
203.80.141.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.81.0.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.81.3.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.81.4.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.81.6.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.82.17.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.82.18.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.82.23.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.103.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.106.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.109.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.111.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.113.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.115.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.86.126.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.89.10.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.89.12.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.99.10.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.99.13.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.100.52.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.100.54.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.119.120.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.119.124.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.128.224.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.128.229.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.128.230.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.129.9.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
