202.5.32.0/21 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
202.5.40.0/22 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
202.5.45.0/24 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
202.5.46.0/23 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
202.5.48.0/20 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
114.130.128.0/19 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.160.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.162.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.164.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.166.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.168.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.171.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.172.0/22 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.176.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.180.0/22 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
114.130.184.0/21 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.128.0/18 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.192.0/21 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.205.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.207.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.210.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.214.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.219.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.227.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.228.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.232.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.237.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.238.0/23 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.243.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.247.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
180.211.248.0/21 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
203.112.200.0/22 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
203.112.206.0/24 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
203.112.208.0/21 #AS45588 BTCL-ISP-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
123.49.56.0/24 #AS45607 BTCL-SATELLITE-AS Bangladesh Telecommunications Company Limited BTCL, Nationwide PSTN Operator and Data and Internet Service Provider., BD
112.137.0.0/20 #AS45621 ICONNECT-BD Planners Tower, BD
43.251.84.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
45.127.48.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
103.40.226.0/23 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
103.51.2.0/23 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
103.113.152.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
103.121.8.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
103.127.4.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
103.216.56.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
113.21.228.0/22 #AS45766 TRIANGLESERVICES Triangle Services Limited., BD
192.175.48.1/32 #AS45904 BANGLALION-WIMAX-BD Banglalion Communications Ltd, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.118.244.0/23 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
45.118.246.0/24 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
45.126.74.0/23 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
103.59.36.0/22 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
103.65.134.0/23 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
103.96.36.0/22 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
116.212.185.0/24 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
123.253.196.0/22 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
160.22.150.0/24 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
180.148.208.0/21 #AS45905 STARGATE-AS-AP Stargate Communications Ltd., BD
103.230.104.0/22 #AS45925 TELETALK-BD ASN For Teletalk Bangladesh Ltd., BD
123.253.132.0/22 #AS45925 TELETALK-BD ASN For Teletalk Bangladesh Ltd., BD
202.4.173.0/24 #AS45925 TELETALK-BD ASN For Teletalk Bangladesh Ltd., BD
45.137.20.0/22 #AS51447 ROOTLAYERNET, BD
103.178.236.0/23 #AS51447 ROOTLAYERNET, BD
185.222.56.0/22 #AS51447 ROOTLAYERNET, BD
124.109.104.0/22 #AS55344 MTBSYSADMIN-BD Head Office, BD
45.251.56.0/22 #AS55406 HRCTECH-01-AS-AP 26 Shyamoli, Bir Uttam A. W. Chowdhury Road, BD
103.20.52.0/22 #AS55406 HRCTECH-01-AS-AP 26 Shyamoli, Bir Uttam A. W. Chowdhury Road, BD
103.254.84.0/22 #AS55406 HRCTECH-01-AS-AP 26 Shyamoli, Bir Uttam A. W. Chowdhury Road, BD
182.16.156.0/22 #AS55406 HRCTECH-01-AS-AP 26 Shyamoli, Bir Uttam A. W. Chowdhury Road, BD
192.175.48.1/32 #AS55425 BTRAC-AS-AP Bangla Trac Communications Ltd IGW Operation, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
27.131.12.0/22 #AS55492 DFN-BD Dhaka Fiber Net Limited, BD
45.127.244.0/22 #AS55492 DFN-BD Dhaka Fiber Net Limited, BD
103.81.196.0/22 #AS55492 DFN-BD Dhaka Fiber Net Limited, BD
103.136.158.0/24 #AS55492 DFN-BD Dhaka Fiber Net Limited, BD
103.152.219.0/24 #AS55492 DFN-BD Dhaka Fiber Net Limited, BD
103.196.232.0/22 #AS55492 DFN-BD Dhaka Fiber Net Limited, BD
103.146.76.0/23 #AS55531 BRAC-BANK-AS-AP BracBank Limited, BD
115.127.220.0/24 #AS55531 BRAC-BANK-AS-AP BracBank Limited, BD
118.179.150.0/24 #AS55531 BRAC-BANK-AS-AP BracBank Limited, BD
118.179.217.0/24 #AS55531 BRAC-BANK-AS-AP BracBank Limited, BD
118.179.218.0/24 #AS55531 BRAC-BANK-AS-AP BracBank Limited, BD
45.115.112.0/22 #AS55828 DRIK-BD Drik ICT Ltd, BD
103.10.52.0/22 #AS55828 DRIK-BD Drik ICT Ltd, BD
121.200.60.0/22 #AS55828 DRIK-BD Drik ICT Ltd, BD
115.127.41.0/24 #AS55846 BBN-AS-AP IMED, Ministry of Planning, Government of the Peoples Republic of Bangladesh, BD
115.127.42.0/23 #AS55846 BBN-AS-AP IMED, Ministry of Planning, Government of the Peoples Republic of Bangladesh, BD
192.175.48.1/32 #AS56031 BUET-BTTB-BD Bangladesh University of Engineering and Technology, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS56032 BTTB-BD BTCL IX service, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
123.0.16.0/20 #AS56054 ICON-INFOTECH-BD Icon Infotech Limited, BD
192.175.48.1/32 #AS56121 GNET Generation Net Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS56138 AXIATA-ROBI-AS-AP Axiata Bangladesh Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
36.50.102.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
81.168.42.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
81.168.60.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
81.168.71.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
81.168.77.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
81.168.78.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
82.152.196.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
82.152.201.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
82.152.202.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
82.152.204.0/22 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.52.0/22 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.56.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.59.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.60.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.97.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.99.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.104.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
89.213.107.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.6.160.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.31.210.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.37.184.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.151.168.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.163.30.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.173.100.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.189.6.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
103.190.74.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
106.0.60.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
165.99.196.0/23 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
210.79.181.0/24 #AS56264 TOMATOWEB-BD Tomato Web Pvt Limited, BD
192.175.48.1/32 #AS58420 NAVY-BD Bangladesh Navy, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.11.136.0/22 #AS58445 DBBL-BD Dutch-Bangla Bank Limited, Your Trusted Partner, BD
116.206.132.0/22 #AS58445 DBBL-BD Dutch-Bangla Bank Limited, Your Trusted Partner, BD
192.175.48.1/32 #AS58454 METRONET-BD MetroNet Bangladesh Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.247.238.0/23 #AS58527 DGHS-GOV-BD Management Information System MIS, BD
118.179.130.0/23 #AS58581 STANDARD-BANK-AS-AP Standard Bank LIMITED, BD
192.175.48.1/32 #AS58587 FIBERATHOME-BD Fiber@Home Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS58599 CYBERGATE-BD Cybergate Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS58601 AAMRA-ATL-BD Aamra technologies limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.9.184.0/24 #AS58616 EQUITEL-BD Equitel Communication Ltd, BD
103.9.186.0/24 #AS58616 EQUITEL-BD Equitel Communication Ltd, BD
103.12.44.0/22 #AS58623 BG-TEL-LIMITED-BD BG TEL LIMITED, BD
103.12.72.0/22 #AS58629 GFCL-BD Global Fair Communications Ltd., BD
103.14.109.0/24 #AS58642 HRCTECHNOLOGIES-BD HRC Technologies Ltd, BD
103.14.193.0/24 #AS58642 HRCTECHNOLOGIES-BD HRC Technologies Ltd, BD
103.12.172.0/22 #AS58655 SKYTEL6-BD SkyTel Communications Limited, BD
182.252.94.0/23 #AS58655 SKYTEL6-BD SkyTel Communications Limited, BD
220.152.112.0/24 #AS58655 SKYTEL6-BD SkyTel Communications Limited, BD
103.12.176.0/22 #AS58656 BDHUB-BD bdHUB Limited, BD
118.179.8.0/21 #AS58656 BDHUB-BD bdHUB Limited, BD
118.179.16.0/20 #AS58656 BDHUB-BD bdHUB Limited, BD
103.12.228.0/22 #AS58665 BAN-TEL-BD Bangla Tel Ltd, BD
103.12.236.0/23 #AS58668 BD-LINK-BD BD Link Communication Ltd, BD
103.13.156.0/23 #AS58670 BDIGW-BD Bangladesh International Gateway Limited, BD
103.13.158.0/24 #AS58670 BDIGW-BD Bangladesh International Gateway Limited, BD
192.175.48.1/32 #AS58672 MAXNETONLINE-BD Maxnet Online, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
43.224.115.0/24 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
43.228.209.0/24 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.15.40.0/22 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.124.225.0/24 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.124.226.0/23 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.137.159.0/24 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.185.251.0/24 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.204.208.0/22 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.230.16.0/23 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
202.181.16.0/23 #AS58682 LEVEL3-BD Level3 Carrier Ltd., BD
103.14.204.0/22 #AS58684 UIL-NET-BD Unique Infoway Limited, BD
103.13.236.0/22 #AS58685 DBLTEL-BD DBL Telecom Ltd, BD
103.20.180.0/22 #AS58688 RADIANT RADIANT COMMUNICATIONS LTD IIG, BD
103.217.112.0/22 #AS58688 RADIANT RADIANT COMMUNICATIONS LTD IIG, BD
103.247.44.0/22 #AS58688 RADIANT RADIANT COMMUNICATIONS LTD IIG, BD
36.50.199.0/24 #AS58689 ICCNET-DHK-BD ICC Communication, BD
43.250.80.0/22 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.15.140.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.41.212.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.77.16.0/24 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.109.238.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.132.248.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.135.134.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.139.9.0/24 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.141.174.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.205.132.0/24 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.205.134.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
116.204.228.0/23 #AS58689 ICCNET-DHK-BD ICC Communication, BD
116.204.231.0/24 #AS58689 ICCNET-DHK-BD ICC Communication, BD
144.48.108.0/22 #AS58689 ICCNET-DHK-BD ICC Communication, BD
203.153.62.0/24 #AS58689 ICCNET-DHK-BD ICC Communication, BD
103.15.224.0/23 #AS58695 UNICEF-BD Unicef Bangladesh, BD
103.20.140.0/22 #AS58704 INTRAGLOBE-BD Intraglobe Communications Ltd., BD
45.113.132.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
45.114.84.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
59.152.96.0/20 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.16.226.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.21.40.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.49.114.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.54.36.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.85.156.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.105.84.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.106.118.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.124.250.0/24 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.126.20.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.147.183.0/24 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.149.75.0/24 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.177.124.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.178.186.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.190.228.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
103.204.80.0/23 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
144.48.116.0/22 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
182.48.64.0/19 #AS58715 EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD., BD
43.245.140.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
59.153.202.0/23 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.15.244.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.26.246.0/23 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.75.238.0/23 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.96.68.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.108.144.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.165.159.0/24 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.199.84.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
103.242.216.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
144.48.148.0/23 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
157.119.184.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
175.41.44.0/22 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
202.94.164.0/24 #AS58717 SUMMITCOMMUNICATIONS-BD Summit Communications Ltd, BD
114.130.248.0/24 #AS58732 PLATINUMCOMMUNICATION Platinum Communication Limited, BD
43.229.208.0/22 #AS58736 DFLL-BD Dhaka Fiber Link Ltd., BD
103.30.188.0/22 #AS58736 DFLL-BD Dhaka Fiber Link Ltd., BD
103.30.169.0/24 #AS58737 IFIC-BANK-LTD-BD International Finance and Investment Company Limited, BD
43.245.232.0/22 #AS58752 DELTA-IIG-BD Delta Infocom Limited., BD
103.31.176.0/23 #AS58752 DELTA-IIG-BD Delta Infocom Limited., BD
103.140.116.0/23 #AS58768 DAFFODILNET-BD Daffodil Online Ltd., BD
165.101.23.0/24 #AS58768 DAFFODILNET-BD Daffodil Online Ltd., BD
203.190.8.0/21 #AS58768 DAFFODILNET-BD Daffodil Online Ltd., BD
114.130.46.0/24 #AS58778 MANGOTELESERVICES-ITC-AS-BD Mango Teleservices Limited for ITC, BD
114.130.50.0/24 #AS58778 MANGOTELESERVICES-ITC-AS-BD Mango Teleservices Limited for ITC, BD
114.130.113.0/24 #AS58778 MANGOTELESERVICES-ITC-AS-BD Mango Teleservices Limited for ITC, BD
192.175.48.1/32 #AS58781 BTRAC-AS-AP Bangla Trac Communications Ltd IGW Operation, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS58782 ICCNET-DHK-BD ICC Communication, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.245.108.0/22 #AS58800 ACENET-BD ACE IT Networks Limited, BD
150.107.54.0/24 #AS58800 ACENET-BD ACE IT Networks Limited, BD
192.175.48.1/32 #AS58803 OPTIMAX-AS-AP OptiMax Communication Ltd, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS58805 XENIAL-AS-AP Xenial Broadband., BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.17.36.0/22 #AS58813 DTECH-BD Dtech Limited, BD
163.53.180.0/22 #AS58813 DTECH-BD Dtech Limited, BD
103.17.68.0/22 #AS58814 BANKASIALIMITED-AS-AP Bank Asia Limited, BD
103.17.180.0/23 #AS58826 ICOMBANGLADESHLTD-BD ping by ICOM Bangladesh Ltd, BD
103.56.208.0/23 #AS58826 ICOMBANGLADESHLTD-BD ping by ICOM Bangladesh Ltd, BD
192.144.80.0/22 #AS58826 ICOMBANGLADESHLTD-BD ping by ICOM Bangladesh Ltd, BD
45.64.136.0/24 #AS58889 ZOL-BD Zx Online Ltd, BD
45.64.138.0/24 #AS58889 ZOL-BD Zx Online Ltd, BD
45.120.38.0/23 #AS58890 INFOLINK1-BD InfoLink, BD
103.19.130.0/23 #AS58890 INFOLINK1-BD InfoLink, BD
103.62.144.0/23 #AS58890 INFOLINK1-BD InfoLink, BD
103.116.180.0/23 #AS58890 INFOLINK1-BD InfoLink, BD
103.116.182.0/24 #AS58890 INFOLINK1-BD InfoLink, BD
202.74.48.0/24 #AS58890 INFOLINK1-BD InfoLink, BD
192.175.48.1/32 #AS58911 PUBALIBANK-AS-BD Bank of Bangladesh, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.124.12.0/22 #AS58912 CTSL-BD Chittagong Telecom Services Ltd, BD
103.25.80.0/22 #AS58912 CTSL-BD Chittagong Telecom Services Ltd, BD
192.175.48.1/32 #AS58918 MANGOTEST-AS-AP Test Public ASN MANGO_BTRC ISS POC, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
36.255.68.0/22 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
103.23.40.0/22 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
103.120.192.0/22 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
103.209.40.0/22 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
103.248.12.0/22 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
118.67.208.0/20 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
163.53.149.0/24 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
163.53.150.0/23 #AS58923 INTERCLOUDLTD-AS-AP InterCloud ltd, BD
103.248.236.0/22 #AS58926 BANGLANET-BD Banglanet, BD
103.249.56.0/24 #AS58935 LANKABANGLA-BD LankaBangla Information System Limited, BD
160.250.89.0/24 #AS58935 LANKABANGLA-BD LankaBangla Information System Limited, BD
103.26.112.0/22 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
103.35.157.0/24 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
103.35.159.0/24 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
103.129.34.0/24 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
103.181.163.0/24 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
103.214.159.0/24 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
106.0.52.0/22 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
144.48.115.0/24 #AS58945 VCL-AS-AP Virgo Communication Ltd, BD
103.26.136.0/23 #AS58946 GRAMEEN1-AS-AP GRAMEEN COMMUNICATIONS, BD
103.26.138.0/23 #AS58947 SOFTWARE-AS-AP Software Shop Limited, BD
103.132.153.0/24 #AS58947 SOFTWARE-AS-AP Software Shop Limited, BD
192.175.48.1/32 #AS58959 NEXTFONE-AS-AP NextFone, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS59203 WSCL-AS-AP Windstream Communication Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.243.140.0/22 #AS59209 WHIL-BD Walton Hi-Tech Industries Ltd, BD
180.210.132.0/24 #AS59236 MEGHNA-BD Meghna Bank Limited, BD
