185.23.19.0/24 #AS198550 NODEHOST-AS, GB
191.44.112.0/24 #AS198550 NODEHOST-AS, GB
194.238.57.0/24 #AS198550 NODEHOST-AS, GB
109.70.58.0/23 #AS198554 DXI-AS, GB
185.173.48.0/22 #AS198554 DXI-AS, GB
216.59.136.0/24 #AS198554 DXI-AS, GB
192.175.48.1/32 #AS198617 PRENHOST, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
37.77.192.0/21 #AS198623 ISUMO-UK, GB
37.123.248.0/21 #AS198623 ISUMO-UK, GB
193.104.81.0/24 #AS198623 ISUMO-UK, GB
91.237.176.0/24 #AS198628 FIDESSA-AS, GB
2.57.152.0/22 #AS198636 CAPSULA-AS, GB
2.59.204.0/22 #AS198636 CAPSULA-AS, GB
45.4.204.0/23 #AS198636 CAPSULA-AS, GB
45.88.124.0/22 #AS198636 CAPSULA-AS, GB
45.150.44.0/22 #AS198636 CAPSULA-AS, GB
94.131.28.0/22 #AS198636 CAPSULA-AS, GB
171.22.52.0/22 #AS198636 CAPSULA-AS, GB
185.235.186.0/24 #AS198636 CAPSULA-AS, GB
194.50.184.0/23 #AS198636 CAPSULA-AS, GB
194.50.188.0/23 #AS198636 CAPSULA-AS, GB
195.216.156.0/22 #AS198636 CAPSULA-AS, GB
212.90.116.0/22 #AS198636 CAPSULA-AS, GB
154.83.210.0/24 #AS198652 SELECTEL-AS, GB
154.198.12.0/24 #AS198652 SELECTEL-AS, GB
192.175.48.1/32 #AS198658 COOPER_NETWORKS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
144.31.136.0/24 #AS198685 LUNAR-AS, GB
5.181.244.0/22 #AS198690 FIBRECAST, GB
45.14.16.0/22 #AS198690 FIBRECAST, GB
46.243.200.0/24 #AS198690 FIBRECAST, GB
82.41.65.0/24 #AS198690 FIBRECAST, GB
178.170.143.0/24 #AS198690 FIBRECAST, GB
192.175.48.1/32 #AS198711 AS_MOVE_BITS_2, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.39.122.0/23 #AS198723 UNI-READING, GB
192.175.48.1/32 #AS198729 B4SH, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
77.111.236.0/24 #AS198736 STREAMNETWORKS, GB
77.111.238.0/23 #AS198736 STREAMNETWORKS, GB
77.232.168.0/21 #AS198736 STREAMNETWORKS, GB
82.163.128.0/22 #AS198736 STREAMNETWORKS, GB
82.163.232.0/22 #AS198736 STREAMNETWORKS, GB
95.141.160.0/20 #AS198736 STREAMNETWORKS, GB
131.117.184.0/21 #AS198736 STREAMNETWORKS, GB
149.255.120.0/21 #AS198736 STREAMNETWORKS, GB
185.7.244.0/22 #AS198736 STREAMNETWORKS, GB
87.76.164.0/24 #AS198741 AMELIAK, GB
37.110.248.0/21 #AS198781 G3NS, GB
45.83.36.0/22 #AS198781 G3NS, GB
45.145.28.0/22 #AS198781 G3NS, GB
45.154.80.0/22 #AS198781 G3NS, GB
78.143.248.0/22 #AS198781 G3NS, GB
82.163.236.0/22 #AS198781 G3NS, GB
83.151.196.0/23 #AS198781 G3NS, GB
88.98.19.0/24 #AS198781 G3NS, GB
88.98.20.0/24 #AS198781 G3NS, GB
88.98.168.0/23 #AS198781 G3NS, GB
94.247.80.0/22 #AS198781 G3NS, GB
103.26.144.0/22 #AS198781 G3NS, GB
185.33.208.0/22 #AS198781 G3NS, GB
185.49.232.0/22 #AS198781 G3NS, GB
185.100.188.0/22 #AS198781 G3NS, GB
194.15.48.0/22 #AS198781 G3NS, GB
45.8.177.0/24 #AS198789 AS_SPEEDY, GB
192.175.48.1/32 #AS198796 PEARSON-HARPER, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.135.140.0/22 #AS198798 OFLI-AS, GB
91.239.91.0/24 #AS198801 YOUR-HOUSING-GROUP-AS, GB
5.44.224.0/21 #AS198823 NETINT, GB
5.133.88.0/24 #AS198823 NETINT, GB
5.133.90.0/23 #AS198823 NETINT, GB
185.228.180.0/22 #AS198823 NETINT, GB
5.56.168.0/21 #AS198850 HOGARTH-WORLDWIDE, GB
91.240.2.0/23 #AS198863 CUP-AS, GB
138.37.0.0/16 #AS198864 QMW-AC-UK , GB
161.23.0.0/16 #AS198864 QMW-AC-UK , GB
192.135.231.0/24 #AS198864 QMW-AC-UK , GB
192.135.232.0/23 #AS198864 QMW-AC-UK , GB
194.36.8.0/22 #AS198864 QMW-AC-UK , GB
153.56.154.0/24 #AS198892 MIXCLOUD-AS, GB
45.140.133.0/24 #AS198895 APEXBROADBAND, GB
46.229.241.0/24 #AS198895 APEXBROADBAND, GB
46.229.242.0/24 #AS198895 APEXBROADBAND, GB
188.65.167.0/24 #AS198895 APEXBROADBAND, GB
193.16.149.0/24 #AS198895 APEXBROADBAND, GB
46.30.136.0/24 #AS198957 SYSTEMFORCE_AS, GB
46.30.140.0/24 #AS198957 SYSTEMFORCE_AS, GB
194.153.135.0/24 #AS198981 NETSHIELD-BYOIP, GB
66.51.96.0/22 #AS198990 PINEHOST-NET, GB
89.28.237.0/24 #AS198990 PINEHOST-NET, GB
89.213.214.0/24 #AS198990 PINEHOST-NET, GB
156.236.84.0/24 #AS198990 PINEHOST-NET, GB
192.175.48.1/32 #AS199035 OLCUS-LIMITED, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
2.59.183.0/24 #AS199058 SERVAONE, GB
45.85.93.0/24 #AS199058 SERVAONE, GB
45.129.242.0/24 #AS199058 SERVAONE, GB
45.158.127.0/24 #AS199058 SERVAONE, GB
62.192.174.0/24 #AS199058 SERVAONE, GB
81.22.132.0/24 #AS199058 SERVAONE, GB
89.42.142.0/24 #AS199058 SERVAONE, GB
89.126.229.0/24 #AS199058 SERVAONE, GB
91.221.232.0/24 #AS199058 SERVAONE, GB
146.103.33.0/24 #AS199058 SERVAONE, GB
151.241.173.0/24 #AS199058 SERVAONE, GB
158.173.203.0/24 #AS199058 SERVAONE, GB
163.5.207.0/24 #AS199058 SERVAONE, GB
178.248.75.0/24 #AS199058 SERVAONE, GB
191.101.184.0/24 #AS199058 SERVAONE, GB
213.5.128.0/24 #AS199058 SERVAONE, GB
213.218.212.0/24 #AS199058 SERVAONE, GB
82.39.205.0/24 #AS199129 DIRECTCONNECT-AS, GB
91.244.229.0/24 #AS199131 CITY-OF-YORK-COUNCIL, GB
91.241.56.0/24 #AS199165 SHIBBOLEET-AS, GB
192.175.48.1/32 #AS199172 FAST-BITS-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199185 PLUSLAYER, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
31.58.96.0/24 #AS199186 DANIEL, GB
31.77.223.0/24 #AS199186 DANIEL, GB
64.69.117.0/24 #AS199186 DANIEL, GB
64.69.120.0/24 #AS199186 DANIEL, GB
89.42.95.0/24 #AS199186 DANIEL, GB
104.140.204.0/24 #AS199186 DANIEL, GB
147.90.17.0/24 #AS199186 DANIEL, GB
147.125.148.0/24 #AS199186 DANIEL, GB
151.242.179.0/24 #AS199186 DANIEL, GB
151.247.142.0/24 #AS199186 DANIEL, GB
157.254.15.0/24 #AS199186 DANIEL, GB
194.231.212.0/24 #AS199186 DANIEL, GB
212.134.95.0/24 #AS199186 DANIEL, GB
216.183.237.0/24 #AS199186 DANIEL, GB
217.216.214.0/24 #AS199186 DANIEL, GB
5.254.160.0/23 #AS199204 WEBMATE, GB
192.175.48.1/32 #AS199208 EY-DE-NGDC-2, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199210 EY-DE-NGDC-1, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199227 PROTOCOL7-IX, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199228 IHOR-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
80.79.216.0/23 #AS199262 TFL-FPS-AS TfL Fares Payment System AS Number, GB
31.169.112.0/21 #AS199283 UKSCOMMS-AS, GB
95.87.104.0/21 #AS199283 UKSCOMMS-AS, GB
185.87.208.0/22 #AS199283 UKSCOMMS-AS, GB
185.139.36.0/22 #AS199283 UKSCOMMS-AS, GB
85.90.195.0/24 #AS199285 CONARX, GB
91.238.193.0/24 #AS199285 CONARX, GB
185.12.136.0/22 #AS199286 ANS-AS, GB
185.122.68.0/22 #AS199286 ANS-AS, GB
194.110.137.0/24 #AS199286 ANS-AS, GB
192.175.48.1/32 #AS199291 BCDS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
151.244.132.0/24 #AS199301 SOLUTIONS-AS, GB
151.244.179.0/24 #AS199301 SOLUTIONS-AS, GB
194.169.218.0/24 #AS199330 CENTRALNIC-ANYCAST-A CentralNic Anycast-A AS Number, GB
80.94.192.0/20 #AS199335 TALKSTRAIGHT, GB
85.12.112.0/21 #AS199335 TALKSTRAIGHT, GB
85.12.124.0/23 #AS199335 TALKSTRAIGHT, GB
85.92.160.0/19 #AS199335 TALKSTRAIGHT, GB
149.71.104.0/21 #AS199335 TALKSTRAIGHT, GB
149.88.0.0/21 #AS199335 TALKSTRAIGHT, GB
149.107.144.0/21 #AS199335 TALKSTRAIGHT, GB
154.42.160.0/21 #AS199335 TALKSTRAIGHT, GB
176.126.224.0/21 #AS199335 TALKSTRAIGHT, GB
185.5.64.0/22 #AS199335 TALKSTRAIGHT, GB
185.41.228.0/22 #AS199335 TALKSTRAIGHT, GB
185.99.21.0/24 #AS199335 TALKSTRAIGHT, GB
185.113.60.0/22 #AS199335 TALKSTRAIGHT, GB
188.241.40.0/21 #AS199335 TALKSTRAIGHT, GB
91.237.210.0/23 #AS199379 MARKERSTUDY-AS, GB
193.39.8.0/24 #AS199385 GNOME, GB
69.57.172.0/24 #AS199404 WHG-IN, GB
103.118.16.0/23 #AS199404 WHG-IN, GB
190.92.174.0/23 #AS199404 WHG-IN, GB
195.250.20.0/23 #AS199404 WHG-IN, GB
195.250.22.0/24 #AS199404 WHG-IN, GB
195.250.30.0/23 #AS199404 WHG-IN, GB
198.38.81.0/24 #AS199404 WHG-IN, GB
198.38.83.0/24 #AS199404 WHG-IN, GB
198.38.84.0/22 #AS199404 WHG-IN, GB
198.38.88.0/23 #AS199404 WHG-IN, GB
209.42.28.0/24 #AS199404 WHG-IN, GB
89.106.224.0/21 #AS199448 NTE-AS, GB
185.6.196.0/22 #AS199448 NTE-AS, GB
185.7.164.0/22 #AS199448 NTE-AS, GB
185.45.168.0/22 #AS199448 NTE-AS, GB
149.88.112.0/20 #AS199452 MS3-AS, GB
154.60.90.0/23 #AS199452 MS3-AS, GB
154.61.46.0/24 #AS199452 MS3-AS, GB
154.61.48.0/23 #AS199452 MS3-AS, GB
154.61.50.0/24 #AS199452 MS3-AS, GB
154.62.128.0/24 #AS199452 MS3-AS, GB
154.62.144.0/20 #AS199452 MS3-AS, GB
185.2.192.0/22 #AS199452 MS3-AS, GB
185.4.116.0/22 #AS199455 ARQWIFI, GB
185.16.40.0/22 #AS199456 VLDTECH-ASN, GB
185.101.76.0/23 #AS199462 NETISP-UK-AS NETISP UK Regional network, GB
185.101.78.0/24 #AS199462 NETISP-UK-AS NETISP UK Regional network, GB
192.175.48.1/32 #AS199464 MCMAH, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
5.133.40.0/21 #AS199468 SOLWAY-COMMS-UK, GB
46.254.111.0/24 #AS199468 SOLWAY-COMMS-UK, GB
144.124.128.0/18 #AS199468 SOLWAY-COMMS-UK, GB
185.173.8.0/22 #AS199468 SOLWAY-COMMS-UK, GB
194.163.224.0/20 #AS199468 SOLWAY-COMMS-UK, GB
185.229.22.0/24 #AS199492 EASYINTERNET, GB
192.175.48.1/32 #AS199501 RFLNHS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199507 THALES-DNSP, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.13.80.0/22 #AS199516 PACKNET-AS, GB
192.175.48.1/32 #AS199534 INTERFIBER-CI, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.148.14.0/24 #AS199535 COM, GB
45.66.68.0/24 #AS199542 SONASSI, GB
45.66.70.0/24 #AS199542 SONASSI, GB
149.86.96.0/21 #AS199542 SONASSI, GB
185.11.184.0/22 #AS199542 SONASSI, GB
185.147.132.0/22 #AS199542 SONASSI, GB
185.162.111.0/24 #AS199542 SONASSI, GB
185.245.116.0/23 #AS199542 SONASSI, GB
185.64.77.0/24 #AS199548 AS_FNT_PRM, GB
192.175.48.1/32 #AS199550 HIRAGI-LTD, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.9.172.0/22 #AS199569 COGNIZANT-EU-AS, GB
82.38.16.0/24 #AS199614 FICITY-AS-01, GB
82.38.45.0/24 #AS199614 FICITY-AS-01, GB
82.38.106.0/24 #AS199614 FICITY-AS-01, GB
82.38.110.0/24 #AS199614 FICITY-AS-01, GB
82.38.123.0/24 #AS199614 FICITY-AS-01, GB
82.38.208.0/23 #AS199614 FICITY-AS-01, GB
82.38.213.0/24 #AS199614 FICITY-AS-01, GB
82.38.214.0/24 #AS199614 FICITY-AS-01, GB
82.39.82.0/23 #AS199614 FICITY-AS-01, GB
82.39.84.0/23 #AS199614 FICITY-AS-01, GB
82.39.87.0/24 #AS199614 FICITY-AS-01, GB
82.39.88.0/22 #AS199614 FICITY-AS-01, GB
82.39.92.0/24 #AS199614 FICITY-AS-01, GB
82.39.100.0/24 #AS199614 FICITY-AS-01, GB
82.39.104.0/24 #AS199614 FICITY-AS-01, GB
82.39.106.0/24 #AS199614 FICITY-AS-01, GB
82.39.167.0/24 #AS199614 FICITY-AS-01, GB
82.39.191.0/24 #AS199614 FICITY-AS-01, GB
82.39.192.0/24 #AS199614 FICITY-AS-01, GB
82.41.1.0/24 #AS199614 FICITY-AS-01, GB
82.41.5.0/24 #AS199614 FICITY-AS-01, GB
82.41.6.0/23 #AS199614 FICITY-AS-01, GB
82.41.8.0/22 #AS199614 FICITY-AS-01, GB
82.41.12.0/24 #AS199614 FICITY-AS-01, GB
82.41.14.0/23 #AS199614 FICITY-AS-01, GB
82.41.22.0/23 #AS199614 FICITY-AS-01, GB
82.41.24.0/23 #AS199614 FICITY-AS-01, GB
82.41.28.0/23 #AS199614 FICITY-AS-01, GB
82.41.32.0/23 #AS199614 FICITY-AS-01, GB
82.41.38.0/23 #AS199614 FICITY-AS-01, GB
82.41.48.0/23 #AS199614 FICITY-AS-01, GB
82.41.96.0/24 #AS199614 FICITY-AS-01, GB
82.41.116.0/24 #AS199614 FICITY-AS-01, GB
82.41.123.0/24 #AS199614 FICITY-AS-01, GB
82.41.146.0/24 #AS199614 FICITY-AS-01, GB
82.41.157.0/24 #AS199614 FICITY-AS-01, GB
82.41.169.0/24 #AS199614 FICITY-AS-01, GB
82.41.182.0/24 #AS199614 FICITY-AS-01, GB
82.41.199.0/24 #AS199614 FICITY-AS-01, GB
82.41.209.0/24 #AS199614 FICITY-AS-01, GB
82.41.220.0/24 #AS199614 FICITY-AS-01, GB
82.41.239.0/24 #AS199614 FICITY-AS-01, GB
82.41.240.0/24 #AS199614 FICITY-AS-01, GB
109.176.28.0/24 #AS199614 FICITY-AS-01, GB
194.58.61.0/24 #AS199614 FICITY-AS-01, GB
194.87.171.0/24 #AS199614 FICITY-AS-01, GB
185.10.144.0/23 #AS199629 NET-4MS, GB
5.199.3.0/24 #AS199649 KTSTECH-AS, GB
2.56.164.0/24 #AS199654 OXIDE-GROUP-LIMITED Oxide Group Limited, GB
185.227.70.0/24 #AS199654 OXIDE-GROUP-LIMITED Oxide Group Limited, GB
195.58.58.0/24 #AS199654 OXIDE-GROUP-LIMITED Oxide Group Limited, GB
89.28.188.0/22 #AS199675 WGSLEDC, GB
185.219.104.0/22 #AS199675 WGSLEDC, GB
185.49.74.0/23 #AS199706 BLOCK-AS, GB
185.42.236.0/22 #AS199710 PERFORM-AS, GB
5.255.48.0/21 #AS199713 MLL-AS, GB
91.196.28.0/22 #AS199713 MLL-AS, GB
91.231.90.0/23 #AS199713 MLL-AS, GB
94.198.172.0/22 #AS199713 MLL-AS, GB
138.124.224.0/22 #AS199713 MLL-AS, GB
138.124.236.0/22 #AS199713 MLL-AS, GB
185.17.96.0/22 #AS199713 MLL-AS, GB
185.22.4.0/22 #AS199713 MLL-AS, GB
185.49.36.0/22 #AS199713 MLL-AS, GB
185.100.88.0/22 #AS199713 MLL-AS, GB
194.26.206.0/24 #AS199713 MLL-AS, GB
194.61.79.0/24 #AS199713 MLL-AS, GB
194.140.226.0/24 #AS199713 MLL-AS, GB
213.178.132.0/22 #AS199713 MLL-AS, GB
194.6.234.0/24 #AS199716 BLETCHLEY-NETWORKS-LIMITED, GB
154.51.132.0/23 #AS199717 PANOPTICS, GB
154.51.188.0/22 #AS199717 PANOPTICS, GB
185.49.40.0/22 #AS199717 PANOPTICS, GB
91.219.20.0/24 #AS199720 ICBCS, GB
193.130.160.0/24 #AS199720 ICBCS, GB
192.175.48.1/32 #AS199735 INCLUSIVE-BYTES-CIC, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
213.173.12.0/24 #AS199738 VATORA, GB
51.194.164.0/24 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
51.194.174.0/23 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
51.194.190.0/24 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
82.47.20.0/24 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
82.47.166.0/24 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
82.47.175.0/24 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
199.59.181.0/24 #AS199741 TRANSITX-BYOIP-CUSTOMERS TransitX BYOIP, GB
159.153.180.0/24 #AS199764 EA-RO-BUC, GB
192.175.48.1/32 #AS199766 JNET, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.94.32.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.6.152.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.65.164.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.95.108.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.168.132.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.182.52.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.208.240.0/22 #AS199775 CONNEXIN-LIMITED, GB
185.242.218.0/24 #AS199775 CONNEXIN-LIMITED, GB
194.126.152.0/24 #AS199775 CONNEXIN-LIMITED, GB
185.57.40.0/22 #AS199788 MPS, GB
87.232.80.0/24 #AS199794 EMO-AS, GB
192.175.48.1/32 #AS199804 TFES-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.38.228.0/22 #AS199828 INET-PLC-AS, GB
192.175.48.1/32 #AS199843 MINDTHECLOUD-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199853 HOSTIQOR-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
150.241.236.0/24 #AS199856 PING-TELECOMMUNICATIONS, GB
157.254.26.0/24 #AS199856 PING-TELECOMMUNICATIONS, GB
176.105.226.0/24 #AS199856 PING-TELECOMMUNICATIONS, GB
192.154.201.0/24 #AS199856 PING-TELECOMMUNICATIONS, GB
195.88.70.0/24 #AS199856 PING-TELECOMMUNICATIONS, GB
37.235.46.0/23 #AS199886 SB-AS, GB
192.175.48.1/32 #AS199903 NICESYSTEMSUK-E1, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
2.57.44.0/22 #AS199909 ELITETELE, GB
85.184.192.0/21 #AS199909 ELITETELE, GB
85.236.128.0/21 #AS199909 ELITETELE, GB
91.233.128.0/23 #AS199909 ELITETELE, GB
154.61.36.0/22 #AS199909 ELITETELE, GB
185.41.24.0/22 #AS199909 ELITETELE, GB
185.58.24.0/22 #AS199909 ELITETELE, GB
185.75.104.0/22 #AS199909 ELITETELE, GB
192.175.48.1/32 #AS199916 DLG-HUB, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.37.196.0/22 #AS199946 CTALK, GB
148.135.201.0/24 #AS199948 EXPANSE-NETWORKS, GB
149.154.176.0/21 #AS199954 TECHWARECA, GB
185.38.132.0/23 #AS200008 PIRUM-AS, GB
2.26.183.0/24 #AS200027 RDA-TELECOM, GB
192.175.48.1/32 #AS200039 HYDRACOM-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.21.216.0/22 #AS200052 FERAL Feral Hosting, GB
192.175.48.1/32 #AS200079 MIKRISPHERE-ASN, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
62.182.16.0/21 #AS200083 SUB6, GB
185.41.8.0/22 #AS200083 SUB6, GB
31.57.140.0/24 #AS200105 JUNGLELABS, GB
51.194.68.0/24 #AS200105 JUNGLELABS, GB
51.194.72.0/24 #AS200105 JUNGLELABS, GB
51.194.74.0/24 #AS200105 JUNGLELABS, GB
51.194.98.0/24 #AS200105 JUNGLELABS, GB
78.105.172.0/24 #AS200105 JUNGLELABS, GB
84.75.130.0/24 #AS200105 JUNGLELABS, GB
84.75.135.0/24 #AS200105 JUNGLELABS, GB
87.76.168.0/24 #AS200105 JUNGLELABS, GB
92.112.7.0/24 #AS200105 JUNGLELABS, GB
147.90.49.0/24 #AS200105 JUNGLELABS, GB
147.90.54.0/24 #AS200105 JUNGLELABS, GB
151.245.171.0/24 #AS200105 JUNGLELABS, GB
151.245.172.0/24 #AS200105 JUNGLELABS, GB
155.117.108.0/24 #AS200105 JUNGLELABS, GB
185.232.85.0/24 #AS200105 JUNGLELABS, GB
207.180.42.0/24 #AS200105 JUNGLELABS, GB
212.134.252.0/24 #AS200105 JUNGLELABS, GB
185.22.240.0/22 #AS200124 FLEXUK-AS, GB
192.175.48.1/32 #AS200143 KWZTECH, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.36.24.0/22 #AS200147 ASHTL, GB
185.35.48.0/22 #AS200164 RHG-AS, GB
192.175.48.1/32 #AS200167 EXCELLONDON, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
212.119.44.0/23 #AS200203 DATABRIDGE, GB
185.38.80.0/24 #AS200251 CWG, GB
31.42.122.0/24 #AS200260 DEBUGGED-NETWORK, GB
45.92.41.0/24 #AS200260 DEBUGGED-NETWORK, GB
51.241.44.0/22 #AS200260 DEBUGGED-NETWORK, GB
51.241.48.0/22 #AS200260 DEBUGGED-NETWORK, GB
62.84.167.0/24 #AS200260 DEBUGGED-NETWORK, GB
82.29.8.0/21 #AS200260 DEBUGGED-NETWORK, GB
82.39.200.0/22 #AS200260 DEBUGGED-NETWORK, GB
109.110.163.0/24 #AS200260 DEBUGGED-NETWORK, GB
193.242.222.0/24 #AS200260 DEBUGGED-NETWORK, GB
44.31.97.0/24 #AS200280 CAMERONSHARP, GB
79.110.163.0/24 #AS200304 EVERYDAY-COMMUNICATIONS, GB
185.107.198.0/24 #AS200416 BG-MED, GB
185.107.228.0/23 #AS200418 UK-DAO, GB
185.107.230.0/24 #AS200418 UK-DAO, GB
185.107.197.0/24 #AS200425 BG-TAL, GB
192.175.48.1/32 #AS200427 PROXIMITY-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
31.3.217.0/24 #AS200468 ALVAREZ, GB
43.242.138.0/24 #AS200469 FEMSTIOSROX-AS, GB
185.82.11.0/24 #AS200473 SAMSUNG-MSK-AS, GB
192.175.48.1/32 #AS200493 WHITEQUARK-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.99.216.0/24 #AS200498 PWP-ASN, GB
91.149.194.0/24 #AS200508 SOROK76-LTD, GB
91.149.227.0/24 #AS200508 SOROK76-LTD, GB
77.81.120.0/23 #AS200514 KNOWNSRV, GB
91.208.113.0/24 #AS200514 KNOWNSRV, GB
185.66.140.0/22 #AS200514 KNOWNSRV, GB
185.192.125.0/24 #AS200514 KNOWNSRV, GB
185.192.126.0/23 #AS200514 KNOWNSRV, GB
194.145.208.0/23 #AS200514 KNOWNSRV, GB
213.109.207.0/24 #AS200514 KNOWNSRV, GB
192.175.48.1/32 #AS200535 INITARA-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.103.116.0/23 #AS200552 ACKLO, GB
185.103.119.0/24 #AS200552 ACKLO, GB
158.94.175.0/24 #AS200581 TFWFIBRE-ASN, GB
185.32.77.0/24 #AS200597 DIGITALK-SG1, GB
192.175.48.1/32 #AS200614 VRTS-GPK, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
72.18.73.0/24 #AS200623 NETBLAZER-LTD, GB
85.149.219.0/24 #AS200623 NETBLAZER-LTD, GB
5.175.215.0/24 #AS200636 PARAVIRT, GB
82.24.85.0/24 #AS200636 PARAVIRT, GB
82.24.111.0/24 #AS200636 PARAVIRT, GB
82.24.113.0/24 #AS200636 PARAVIRT, GB
217.217.24.0/23 #AS200636 PARAVIRT, GB
217.217.30.0/24 #AS200636 PARAVIRT, GB
185.100.60.0/22 #AS200652 SIPHON, GB
31.207.6.0/24 #AS200658 CORECLOUD, GB
45.39.24.0/24 #AS200658 CORECLOUD, GB
72.35.245.0/24 #AS200658 CORECLOUD, GB
87.232.74.0/24 #AS200658 CORECLOUD, GB
104.143.192.0/24 #AS200658 CORECLOUD, GB
134.195.8.0/24 #AS200658 CORECLOUD, GB
154.13.128.0/24 #AS200658 CORECLOUD, GB
165.140.93.0/24 #AS200658 CORECLOUD, GB
212.66.55.0/24 #AS200658 CORECLOUD, GB
40.27.40.0/21 #AS200660 QONZER, GB
82.25.36.0/24 #AS200660 QONZER, GB
95.135.0.0/23 #AS200660 QONZER, GB
192.175.48.1/32 #AS200671 START-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
138.124.188.0/22 #AS200675 HYDRO66, GB
185.71.176.0/22 #AS200675 HYDRO66, GB
185.232.76.0/22 #AS200675 HYDRO66, GB
192.175.48.1/32 #AS200681 IXMIDS-ROUTESRV, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
84.207.247.0/24 #AS200682 TLC-ASN, GB
212.161.59.0/24 #AS200682 TLC-ASN, GB
193.46.182.0/24 #AS200692 KO-EU-ASN1, GB
185.93.28.0/22 #AS200700 BMC_UK-1, GB
178.92.119.0/24 #AS200709 FLOTEK-SHARED-MNT, GB
